StartNode,EndNode
101,5
5,85
85,93
93,99
99,101
101,61
61,16
16,86
86,84
84,101
101,45
45,8
8,36
36,49
49,64
64,52
52,89
89,6
6,60
60,101
101,18
18,82
82,48
48,83
83,101
102,76
76,50
50,79
79,3
3,77
77,102
102,29
29,65
65,9
9,81
81,33
33,102
102,68
68,80
80,54
54,102
102,4
4,56
56,23
23,39
39,25
25,55
55,24
24,102
103,87
87,95
95,13
13,103
103,94
94,96
96,59
59,98
98,37
37,97
97,103
103,100
100,91
91,44
44,38
38,14
14,43
43,15
15,2
2,103
103,21
21,73
73,72
72,74
74,75
75,22
22,41
41,103
103,40
40,26
26,53
53,58
58,103
104,31
31,7
7,47
47,19
19,11
11,63
63,104
104,70
70,30
30,32
32,90
90,10
10,62
62,88
88,104
104,69
69,27
27,28
28,12
12,78
78,34
34,71
71,20
20,104
