StartNode,EndNode
250,53
53,30
30,54
54,250
250,96
96,166
166,207
207,250
250,146
146,122
122,223
223,250
250,2
2,148
148,114
114,250
250,235
235,57
57,230
230,250
250,224
224,82
82,131
131,250
250,195
195,27
27,250
250,190
190,123
123,118
118,250
250,43
43,55
55,201
201,250
250,73
73,198
198,250
250,229
229,31
31,90
90,250
250,78
78,52
52,84
84,250
250,10
10,242
242,225
225,250
250,62
62,38
38,249
249,250
251,140
140,172
172,164
164,251
251,200
200,91
91,144
144,251
251,174
174,143
143,128
128,251
251,99
99,76
76,28
28,251
251,37
37,222
222,14
14,251
251,116
116,215
215,251
251,46
46,93
93,161
161,251
251,120
120,23
23,236
236,251
251,105
105,60
60,243
243,251
251,213
213,7
7,246
246,251
251,107
107,178
178,92
92,251
251,21
21,234
234,4
4,251
251,44
44,196
196,48
48,251
