StartNode,EndNode
501,70
70,499
499,89
89,131
131,246
246,72
72,32
32,66
66,501
501,325
325,8
8,67
67,16
16,31
31,33
33,476
476,177
177,130
130,62
62,427
427,25
25,340
340,467
467,481
481,473
473,417
417,40
40,159
159,248
248,215
215,191
191,382
382,254
254,207
207,454
454,354
354,23
23,223
223,433
433,501
502,347
347,84
84,55
55,24
24,45
45,232
232,444
444,17
17,113
113,431
431,335
335,459
459,323
323,367
367,229
229,452
452,326
326,356
356,114
114,465
465,234
234,421
421,502
502,390
390,385
385,86
86,408
408,170
170,304
304,165
165,299
299,92
92,255
255,398
398,338
338,287
287,256
256,57
57,204
204,285
285,203
203,68
68,2
2,228
228,250
250,300
300,440
440,160
160,315
315,373
373,456
456,502
503,30
30,76
76,19
19,320
320,151
151,182
182,464
464,247
247,479
479,42
42,503
503,168
168,53
53,496
496,503
503,267
267,283
283,195
195,201
201,260
260,289
289,455
455,357
357,180
180,297
297,152
152,158
158,471
471,244
244,469
469,14
14,443
443,307
307,286
286,379
379,290
290,156
156,314
314,212
212,361
361,342
342,344
344,261
261,140
140,154
154,503
504,263
263,377
377,362
362,436
436,273
273,396
396,10
10,490
490,441
441,374
374,372
372,39
39,124
124,65
65,457
457,78
78,35
35,269
269,384
384,218
218,38
38,389
389,333
333,93
93,504
504,153
153,308
308,81
81,482
482,276
276,319
319,439
439,331
331,85
85,236
236,184
184,74
74,59
59,497
497,310
310,275
275,3
3,416
416,117
117,405
405,166
166,281
281,163
163,209
209,316
316,47
47,109
109,493
493,406
406,327
327,504
