StartNode,EndNode
250,163
163,224
224,82
82,157
157,249
249,62
62,237
237,177
177,69
69,64
64,125
125,195
195,2
2,170
170,230
230,58
58,183
183,150
150,220
220,36
36,217
217,83
83,206
206,65
65,228
228,53
53,124
124,49
49,12
12,133
133,5
5,191
191,30
30,18
18,137
137,54
54,204
204,198
198,73
73,96
96,166
166,207
207,112
112,213
213,8
8,190
190,135
135,146
146,84
84,16
16,243
243,6
6,169
169,171
171,181
181,59
59,162
162,75
75,219
219,15
15,102
102,233
233,176
176,136
136,226
226,32
32,78
78,201
201,67
67,51
51,97
97,132
132,29
29,227
227,20
20,109
109,110
110,60
60,158
158,134
134,159
159,147
147,127
127,40
40,24
24,17
17,175
175,55
55,47
47,168
168,66
66,103
103,113
113,80
80,194
194,197
197,42
42,10
10,238
238,131
131,214
214,57
57,203
203,13
13,167
167,89
89,189
189,106
106,121
121,248
248,153
153,9
9,26
26,148
148,114
114,101
101,193
193,235
235,241
241,11
11,56
56,242
242,38
38,39
39,52
52,123
123,118
118,3
3,225
225,223
223,43
43,122
122,27
27,173
173,250
251,208
208,246
246,25
25,141
141,104
104,74
74,215
215,126
126,116
116,37
37,165
165,222
222,85
85,105
105,41
41,210
210,178
178,92
92,117
117,98
98,240
240,107
107,14
14,143
143,174
174,196
196,48
48,23
23,236
236,111
111,120
120,22
22,44
44,199
199,200
200,152
152,28
28,160
160,7
7,164
164,140
140,172
172,100
100,145
145,115
115,4
4,81
81,186
186,21
21,138
138,209
209,234
234,33
33,72
72,185
185,19
19,79
79,211
211,90
90,61
61,130
130,129
129,221
221,205
205,31
31,71
71,229
229,1
1,139
139,202
202,231
231,68
68,142
142,232
232,108
108,244
244,99
99,70
70,155
155,76
76,154
154,87
87,188
188,34
34,182
182,95
95,156
156,144
144,192
192,184
184,218
218,119
119,239
239,35
35,91
91,50
50,245
245,94
94,151
151,86
86,149
149,247
247,88
88,77
77,128
128,161
161,179
179,46
46,216
216,63
63,180
180,93
93,187
187,45
45,212
212,251
