StartNode,EndNode
250,213
213,166
166,207
207,73
73,198
198,54
54,18
18,191
191,79
79,211
211,90
90,61
61,129
129,130
130,53
53,228
228,65
65,206
206,83
83,36
36,220
220,150
150,183
183,58
58,230
230,13
13,167
167,89
89,248
248,153
153,9
9,26
26,148
148,114
114,101
101,193
193,203
203,57
57,214
214,131
131,10
10,42
42,197
197,194
194,80
80,66
66,103
103,168
168,55
55,17
17,24
24,40
40,127
127,147
147,134
134,158
158,51
51,201
201,78
78,32
32,136
136,233
233,52
52,243
243,169
169,181
181,171
171,59
59,162
162,75
75,15
15,102
102,39
39,122
122,43
43,223
223,225
225,241
241,11
11,82
82,157
157,249
249,62
62,237
237,177
177,250
251,63
63,216
216,179
179,161
161,93
93,77
77,88
88,245
245,218
218,184
184,239
239,35
35,182
182,95
95,34
34,87
87,154
154,76
76,155
155,232
232,142
142,68
68,231
231,202
202,139
139,229
229,71
71,31
31,205
205,234
234,33
33,138
138,21
21,100
100,145
145,99
99,70
70,108
108,244
244,4
4,81
81,186
186,172
172,140
140,74
74,104
104,215
215,126
126,116
116,3
3,123
123,135
135,146
146,84
84,16
16,165
165,222
222,105
105,132
132,97
97,29
29,227
227,20
20,109
109,60
60,110
110,210
210,178
178,92
92,117
117,240
240,98
98,143
143,48
48,196
196,236
236,23
23,120
120,22
22,251
