StartNode,EndNode
250,92
92,250
250,178
178,250
250,107
107,250
250,212
212,250
250,67
67,250
250,151
151,250
250,120
120,250
250,37
37,250
250,165
165,250
251,66
66,251
251,114
114,251
251,59
59,251
251,62
62,251
251,69
69,251
251,42
42,251
251,194
194,251
251,168
168,251
251,103
103,251
251,80
80,251
251,47
47,251
251,197
197,251
251,113
113,251
252,204
204,252
252,173
173,252
252,166
166,252
252,123
123,252
252,195
195,252
252,19
19,252
252,213
213,252
252,185
185,252
252,190
190,252
253,188
188,253
253,182
182,253
253,145
145,253
253,87
87,253
253,209
209,253
253,34
34,253
253,154
154,253
253,172
172,253
253,95
95,253
253,25
25,253
253,155
155,253
253,202
202,253
