StartNode,EndNode
361,13
13,21
21,239
239,34
34,18
18,10
10,361
361,17
17,33
33,307
307,28
28,30
30,14
14,361
362,44
44,362
362,61
61,53
53,45
45,362
362,71
71,79
79,72
72,64
64,56
56,48
48,362
362,43
43,51
51,59
59,67
67,75
75,158
158,362
363,96
96,104
104,363
363,82
82,90
90,98
98,106
106,114
114,107
107,363
363,81
81,69
69,116
116,108
108,100
100,363
364,156
156,29
29,37
37,140
140,132
132,364
364,127
127,135
135,142
142,134
134,126
126,364
364,125
125,133
133,149
149,157
157,139
139,146
146,364
365,161
161,169
169,177
177,185
185,172
172,365
365,162
162,170
170,197
197,189
189,181
181,173
173,365
365,168
168,176
176,192
192,191
191,183
183,175
175,365
366,204
204,212
212,236
236,277
277,269
269,228
228,366
366,207
207,229
229,221
221,213
213,205
205,366
366,201
201,209
209,217
217,225
225,233
233,220
220,366
367,258
258,266
266,273
273,257
257,249
249,241
241,367
367,244
244,260
260,268
268,270
270,262
262,254
254,367
367,242
242,250
250,251
251,261
261,253
253,245
245,367
368,286
286,310
310,318
318,302
302,368
368,283
283,291
291,299
299,368
368,281
281,289
289,278
278,306
306,298
298,282
282,368
369,327
327,335
335,369
369,340
340,329
329,346
346,319
319,347
347,331
331,369
369,325
325,333
333,341
341,349
349,357
357,352
352,369
