StartNode,EndNode
501,137
137,347
347,225
225,142
142,418
418,398
398,408
408,292
292,243
243,173
173,370
370,250
250,140
140,63
63,204
204,354
354,438
438,361
361,229
229,165
165,288
288,83
83,374
374,440
440,315
315,115
115,450
450,213
213,444
444,199
199,318
318,309
309,215
215,230
230,52
52,404
404,426
426,138
138,134
134,93
93,461
461,64
64,264
264,203
203,460
460,207
207,85
85,191
191,349
349,32
32,263
263,232
232,17
17,407
407,194
194,322
322,257
257,51
51,107
107,469
469,219
219,497
497,68
68,274
274,273
273,350
350,139
139,371
371,185
185,237
237,331
331,490
490,113
113,195
195,14
14,59
59,496
496,235
235,308
308,178
178,501
502,268
268,188
188,183
183,44
44,189
189,369
369,141
141,465
465,247
247,46
46,372
372,467
467,9
9,161
161,179
179,321
321,38
38,187
187,335
335,145
145,261
261,201
201,223
223,488
488,98
98,193
193,375
375,128
128,323
323,147
147,244
244,184
184,478
478,387
387,319
319,320
320,25
25,484
484,56
56,289
289,422
422,242
242,328
328,258
258,60
60,67
67,236
236,344
344,62
62,441
441,301
301,363
363,130
130,143
143,122
122,135
135,473
473,26
26,116
116,491
491,241
241,23
23,216
216,197
197,394
394,70
70,436
436,453
453,399
399,449
449,355
355,129
129,359
359,164
164,502
503,472
472,72
72,397
397,186
186,447
447,389
389,190
190,386
386,228
228,90
90,167
167,266
266,22
22,311
311,454
454,499
499,262
262,340
340,251
251,132
132,416
416,464
464,339
339,110
110,445
445,324
324,267
267,40
40,254
254,356
356,156
156,166
166,31
31,332
332,357
357,286
286,317
317,125
125,343
343,7
7,106
106,35
35,200
200,41
41,76
76,477
477,471
471,231
231,158
158,49
49,154
154,234
234,466
466,271
271,65
65,233
233,19
19,338
338,144
144,376
376,302
302,299
299,373
373,58
58,345
345,377
377,393
393,421
421,283
283,69
69,457
457,493
493,103
103,456
456,474
474,133
133,120
120,503
504,451
451,79
79,94
94,88
88,5
5,362
362,448
448,429
429,423
423,433
433,285
285,4
4,279
279,413
413,452
452,73
73,86
86,486
486,336
336,434
434,174
174,30
30,342
342,329
329,43
43,28
28,91
91,360
360,272
272,171
171,227
227,127
127,57
57,314
314,16
16,222
222,337
337,310
310,66
66,382
382,390
390,248
248,212
212,217
217,148
148,368
368,210
210,431
431,334
334,172
172,296
296,13
13,427
427,119
119,401
401,170
170,455
455,89
89,20
20,97
97,208
208,443
443,353
353,74
74,504
