StartNode,EndNode
101,87
87,97
97,92
92,37
37,98
98,93
93,99
99,59
59,95
95,13
13,101
101,94
94,6
6,18
18,47
47,36
36,46
46,45
45,17
17,61
61,85
85,101
101,100
100,91
91,16
16,86
86,38
38,44
44,14
14,43
43,42
42,57
57,101
101,41
41,74
74,56
56,23
23,67
67,39
39,25
25,54
54,4
4,72
72,101
101,2
2,73
73,21
21,40
40,58
58,101
102,28
28,53
53,26
26,12
12,80
80,68
68,24
24,29
29,79
79,3
3,102
102,50
50,76
76,33
33,81
81,78
78,34
34,35
35,71
71,9
9,51
51,102
102,70
70,30
30,20
20,66
66,32
32,90
90,64
64,49
49,11
11,62
62,102
102,31
31,88
88,7
7,82
82,8
8,83
83,84
84,5
5,60
60,52
52,102
102,69
69,27
27,1
1,102
