StartNode,EndNode
250,23
23,179
179,161
161,93
93,187
187,45
45,107
107,98
98,117
117,178
178,210
210,41
41,109
109,20
20,227
227,29
29,97
97,132
132,59
59,75
75,219
219,15
15,39
39,102
102,52
52,243
243,6
6,165
165,250
251,103
103,113
113,80
80,194
194,197
197,42
42,10
10,238
238,131
131,214
214,57
57,203
203,101
101,2
2,217
217,193
193,11
11,241
241,235
235,82
82,157
157,249
249,43
43,223
223,122
122,38
38,242
242,56
56,251
252,28
28,182
182,95
95,34
34,188
188,4
4,186
186,172
172,140
140,164
164,7
7,25
25,208
208,200
200,63
63,180
180,216
216,46
46,91
91,77
77,50
50,245
245,119
119,218
218,184
184,144
144,252
253,27
27,83
83,36
36,183
183,58
58,150
150,189
189,153
153,9
9,26
26,148
148,170
170,195
195,64
64,163
163,69
69,177
177,237
237,146
146,84
84,135
135,3
3,118
118,123
123,8
8,190
190,112
112,96
96,166
166,207
207,73
73,198
198,253
254,12
12,49
49,124
124,137
137,18
18,30
30,90
90,61
61,129
129,221
221,205
205,31
31,71
71,229
229,139
139,202
202,155
155,108
108,244
244,70
70,99
99,142
142,68
68,234
234,33
33,79
79,254
