StartNode,EndNode
501,395
395,419
419,142
142,407
407,394
394,297
297,180
180,105
105,448
448,392
392,501
501,403
403,121
121,441
441,374
374,372
372,490
490,39
39,124
124,10
10,1
1,501
501,282
282,269
269,35
35,65
65,457
457,78
78,219
219,20
20,200
200,355
355,501
501,258
258,136
136,306
306,162
162,484
484,120
120,253
253,501
501,495
495,422
422,64
64,90
90,404
404,295
295,199
199,410
410,291
291,5
5,501
502,145
145,340
340,25
25,285
285,204
204,203
203,68
68,440
440,160
160,307
307,502
502,423
423,130
130,62
62,427
427,79
79,370
370,16
16,8
8,325
325,473
473,502
502,453
453,82
82,67
67,48
48,51
51,249
249,298
298,460
460,502
502,238
238,347
347,128
128,56
56,231
231,272
272,139
139,502
502,284
284,107
107,393
393,413
413,481
481,37
37,321
321,502
503,402
402,75
75,91
91,388
388,303
303,488
488,156
156,172
172,435
435,363
363,503
503,150
150,53
53,168
168,261
261,140
140,344
344,361
361,342
342,112
112,348
348,503
503,188
188,251
251,194
194,288
288,380
380,353
353,283
283,195
195,201
201,475
475,503
503,240
240,202
202,193
193,429
429,411
411,477
477,330
330,350
350,425
425,280
280,503
503,104
104,13
13,76
76,19
19,60
60,252
252,80
80,243
243,320
320,97
97,503
503,332
332,183
183,154
154,149
149,447
447,365
365,217
217,274
274,503
504,428
428,133
133,483
483,6
6,322
322,239
239,352
352,12
12,94
94,313
313,504
504,327
327,132
132,137
137,174
174,236
236,85
85,331
331,276
276,221
221,245
245,504
504,377
377,458
458,196
196,499
499,259
259,417
417,153
153,211
211,227
227,406
406,504
504,197
197,383
383,29
29,443
443,135
135,95
95,14
14,426
426,301
301,93
93,504
504,437
437,179
179,125
125,420
420,155
155,438
438,148
148,190
190,498
498,73
73,504
