StartNode,EndNode
501,369
369,345
345,80
80,320
320,30
30,280
280,330
330,477
477,376
376,435
435,172
172,314
314,212
212,170
170,385
385,349
349,22
22,373
373,286
286,224
224,426
426,501
501,215
215,191
191,382
382,254
254,207
207,454
454,439
439,74
74,59
59,184
184,405
405,431
431,17
17,47
47,109
109,113
113,163
163,166
166,236
236,85
85,331
331,276
276,221
221,245
245,153
153,501
502,14
14,379
379,290
290,390
390,502
502,55
55,45
45,232
232,234
234,465
465,114
114,316
316,356
356,311
311,173
173,198
198,185
185,226
226,502
502,88
88,164
164,123
123,346
346,132
132,418
418,187
187,502
502,77
77,118
118,423
423,370
370,79
79,340
340,25
25,68
68,203
203,256
256,92
92,299
299,165
165,255
255,398
398,338
338,287
287,204
204,285
285,427
427,62
62,476
476,33
33,31
31,24
24,84
84,421
421,368
368,502
503,201
201,195
195,283
283,353
353,380
380,288
288,194
194,434
434,466
466,214
214,251
251,188
188,503
503,402
402,168
168,91
91,388
388,156
156,86
86,408
408,304
304,57
57,2
2,228
228,424
424,411
411,503
503,471
471,158
158,152
152,297
297,394
394,105
105,407
407,219
219,142
142,392
392,448
448,116
116,50
50,244
244,151
151,60
60,503
504,211
211,227
227,174
174,281
281,117
117,416
416,459
459,335
335,209
209,49
49,444
444,326
326,452
452,229
229,367
367,323
323,3
3,275
275,310
310,497
497,23
23,354
354,319
319,482
482,223
223,81
81,308
308,504
504,93
93,27
27,87
87,415
415,453
453,82
82,249
249,467
467,51
51,489
489,122
122,134
134,381
381,141
141,504
504,282
282,384
384,218
218,21
21,162
162,504
