StartNode,EndNode
361,5
5,13
13,21
21,19
19,11
11,10
10,361
361,2
2,1
1,361
361,4
4,12
12,20
20,28
28,36
36,9
9,361
361,7
7,15
15,23
23,14
14,6
6,361
362,42
42,50
50,58
58,362
362,44
44,52
52,60
60,68
68,76
76,362
362,45
45,53
53,61
61,43
43,362
362,46
46,54
54,62
62,71
71,63
63,47
47,362
363,81
81,82
82,83
83,363
363,98
98,106
106,114
114,105
105,97
97,89
89,363
363,95
95,103
103,110
110,102
102,94
94,363
364,137
137,145
145,37
37,156
156,140
140,132
132,364
364,121
121,122
122,125
125,133
133,136
136,128
128,364
364,127
127,135
135,143
143,134
134,126
126,364
365,167
167,365
365,162
162,170
170,178
178,186
186,177
177,169
169,365
365,172
172,180
180,188
188,174
174,183
183,166
166,365
365,165
165,173
173,181
181,189
189,176
176,168
168,365
366,202
202,210
210,201
201,366
366,208
208,207
207,206
206,212
212,204
204,366
366,213
213,221
221,229
229,237
237,211
211,203
203,366
366,215
215,223
223,231
231,239
239,222
222,214
214,366
367,260
260,252
252,244
244,367
367,242
242,250
250,258
258,266
266,274
274,251
251,367
367,245
245,253
253,248
248,367
367,255
255,263
263,271
271,279
279,262
262,254
254,367
368,285
285,293
293,301
301,299
299,291
291,283
283,368
368,346
346,319
319,311
311,303
303,295
295,368
368,281
281,289
289,297
297,308
308,300
300,284
284,368
369,325
325,333
333,328
328,335
335,326
326,327
327,369
369,324
324,321
321,329
329,337
337,338
338,322
322,369
369,331
331,339
339,347
347,355
355,73
73,320
320,369
