StartNode,EndNode
250,69
69,250
250,64
64,250
250,135
135,250
250,224
224,250
250,163
163,250
250,6
6,250
250,82
82,250
250,148
148,250
250,248
248,250
250,229
229,250
250,96
96,250
250,130
130,250
250,65
65,250
250,164
164,250
250,1
1,250
250,115
115,250
250,185
185,250
250,118
118,250
251,46
46,251
251,208
208,251
251,22
22,251
251,180
180,251
251,103
103,251
251,239
239,251
251,158
158,251
251,45
45,251
251,127
127,251
251,35
35,251
251,47
47,251
251,86
86,251
251,119
119,251
251,14
14,251
251,192
192,251
251,174
174,251
