StartNode,EndNode
361,5
5,21
21,29
29,361
361,9
9,25
25,17
17,361
361,19
19,27
27,35
35,361
361,39
39,38
38,22
22,361
361,18
18,26
26,34
34,361
362,62
62,79
79,71
71,362
362,64
64,72
72,63
63,362
362,66
66,74
74,65
65,362
362,59
59,67
67,75
75,362
362,47
47,55
55,362
363,98
98,106
106,114
114,363
363,104
104,112
112,109
109,363
363,115
115,107
107,91
91,363
363,99
99,117
117,111
111,363
363,84
84,92
92,363
364,139
139,147
147,149
149,364
364,152
152,160
160,144
144,364
364,145
145,153
153,156
156,364
364,129
129,148
148,151
151,364
364,124
124,364
365,181
181,189
189,197
197,365
365,185
185,194
194,186
186,365
365,174
174,182
182,190
190,365
365,176
176,192
192,200
200,365
365,168
168,184
184,365
366,209
209,217
217,228
228,366
366,218
218,226
226,234
234,366
366,236
236,238
238,230
230,366
366,227
227,235
235,240
240,366
367,250
250,258
258,266
266,367
367,256
256,264
264,272
272,367
367,243
243,251
251,259
259,367
367,246
246,278
278,270
270,367
367,257
257,265
265,276
276,367
368,290
290,282
282,368
368,314
314,306
306,298
298,368
368,313
313,316
316,308
308,368
368,320
320,315
315,307
307,368
368,288
288,296
296,287
287,368
369,342
342,350
350,356
356,369
369,328
328,344
344,336
336,369
369,339
339,347
347,355
355,369
369,359
359,348
348,332
332,369
369,330
330,331
331,323
323,369
