StartNode,EndNode
241,32
32,39
39,31
31,241
241,73
73,38
38,30
30,241
241,17
17,25
25,33
33,241
241,16
16,40
40,24
24,241
242,61
61,69
69,77
77,242
242,59
59,67
67,66
66,242
242,56
56,72
72,118
118,242
242,75
75,74
74,49
49,242
242,43
43,45
45,242
243,103
103,111
111,119
119,243
243,160
160,115
115,120
120,243
243,86
86,110
110,102
102,243
243,85
85,93
93,243
243,105
105,97
97,81
81,243
244,125
125,244
244,143
143,151
151,159
159,244
244,126
126,134
134,142
142,244
244,156
156,35
35,153
153,244
244,147
147,155
155,145
145,244
245,163
163,171
171,165
165,245
245,182
182,190
190,161
161,245
245,195
195,187
187,179
179,245
245,192
192,200
200,175
175,245
245,183
183,199
199,191
191,245
246,218
218,226
226,234
234,246
246,211
211,219
219,227
227,246
246,214
214,230
230,238
238,246
246,216
216,232
232,240
240,246
246,221
221,237
237,229
229,246
