StartNode,EndNode
250,210
210,41
41,110
110,109
109,20
20,227
227,29
29,97
97,132
132,222
222,165
165,6
6,243
243,52
52,219
219,136
136,226
226,32
32,78
78,201
201,24
24,40
40,17
17,47
47,168
168,103
103,113
113,194
194,42
42,197
197,80
80,66
66,56
56,242
242,233
233,75
75,162
162,181
181,171
171,250
250,111
111,236
236,120
120,22
22,63
63,180
180,216
216,46
46,93
93,187
187,161
161,179
179,128
128,143
143,174
174,48
48,250
251,58
58,36
36,220
220,206
206,83
83,173
173,54
54,204
204,198
198,73
73,166
166,207
207,30
30,18
18,191
191,5
5,79
79,211
211,90
90,61
61,221
221,129
129,12
12,49
49,124
124,137
137,27
27,195
195,251
251,203
203,131
131,238
238,10
10,241
241,235
235,43
43,223
223,122
122,39
39,102
102,15
15,84
84,135
135,146
146,69
69,177
177,237
237,62
62,249
249,157
157,82
82,251
252,108
108,76
76,154
154,87
87,188
188,34
34,95
95,182
182,156
156,144
144,192
192,218
218,245
245,94
94,151
151,88
88,50
50,91
91,152
152,208
208,246
246,25
25,141
141,104
104,74
74,140
140,164
164,81
81,115
115,145
145,252
252,142
142,68
68,231
231,139
139,229
229,71
71,31
31,205
205,19
19,185
185,72
72,252
