StartNode,EndNode
250,105
105,6
6,25
25,250
250,178
178,92
92,250
250,236
236,120
120,23
23,250
250,86
86,149
149,151
151,250
250,107
107,212
212,14
14,250
250,117
117,240
240,98
98,250
250,88
88,50
50,22
22,250
251,225
225,62
62,43
43,251
251,102
102,233
233,113
113,251
251,194
194,197
197,42
42,251
251,8
8,3
3,165
165,251
251,223
223,38
38,251
251,222
222,85
85,219
219,251
251,24
24,55
55,66
66,251
252,54
54,206
206,228
228,252
252,137
137,124
124,252
252,198
198,118
118,73
73,252
252,248
248,121
121,189
189,252
252,9
9,204
204,18
18,252
252,69
69,123
123,166
166,252
253,28
28,216
216,152
152,253
253,154
154,76
76,87
87,253
253,70
70,99
99,4
4,253
253,164
164,140
140,100
100,253
253,186
186,1
1,155
155,253
253,79
79,185
185,172
172,253
