StartNode,EndNode
101,60
60,5
5,99
99,96
96,59
59,92
92,37
37,98
98,93
93,85
85,100
100,91
91,61
61,16
16,86
86,38
38,44
44,14
14,43
43,15
15,42
42,87
87,97
97,95
95,94
94,6
6,89
89,18
18,52
52,31
31,70
70,10
10,32
32,90
90,63
63,64
64,49
49,36
36,47
47,48
48,19
19,11
11,62
62,88
88,7
7,82
82,8
8,46
46,45
45,17
17,84
84,83
83,101
102,12
12,76
76,28
28,26
26,40
40,21
21,73
73,72
72,74
74,75
75,22
22,41
41,57
57,2
2,13
13,58
58,53
53,27
27,69
69,1
1,50
50,33
33,81
81,9
9,51
51,30
30,20
20,66
66,65
65,71
71,35
35,34
34,78
78,79
79,3
3,77
77,68
68,80
80,29
29,24
24,55
55,25
25,39
39,67
67,23
23,56
56,4
4,54
54,102
