StartNode,EndNode
250,97
97,29
29,227
227,20
20,109
109,210
210,41
41,110
110,158
158,134
134,159
159,147
147,201
201,78
78,32
32,226
226,136
136,233
233,219
219,75
75,162
162,181
181,171
171,169
169,6
6,37
37,165
165,222
222,111
111,48
48,174
174,143
143,128
128,45
45,212
212,77
77,88
88,247
247,149
149,86
86,151
151,94
94,245
245,50
50,91
91,93
93,187
187,161
161,179
179,46
46,216
216,180
180,63
63,200
200,199
199,22
22,120
120,250
251,148
148,9
9,153
153,248
248,121
121,189
189,220
220,36
36,150
150,58
58,217
217,83
83,206
206,173
173,137
137,18
18,30
30,207
207,96
96,73
73,198
198,204
204,54
54,27
27,195
195,163
163,224
224,69
69,177
177,237
237,62
62,249
249,157
157,82
82,235
235,241
241,225
225,223
223,43
43,122
122,146
146,84
84,135
135,123
123,3
3,16
16,243
243,52
52,15
15,102
102,39
39,242
242,56
56,66
66,47
47,168
168,103
103,113
113,80
80,194
194,197
197,42
42,10
10,238
238,131
131,203
203,193
193,251
252,244
244,108
108,99
99,232
232,142
142,68
68,231
231,139
139,229
229,71
71,31
31,205
205,221
221,129
129,211
211,90
90,61
61,130
130,49
49,12
12,5
5,191
191,79
79,19
19,185
185,72
72,166
166,213
213,112
112,190
190,8
8,215
215,126
126,104
104,74
74,141
141,25
25,246
246,208
208,152
152,156
156,144
144,192
192,218
218,119
119,239
239,35
35,182
182,95
95,34
34,188
188,4
4,81
81,186
186,21
21,252
