StartNode,EndNode
101,91
91,100
100,98
98,37
37,92
92,59
59,96
96,99
99,93
93,85
85,61
61,16
16,86
86,38
38,44
44,14
14,42
42,43
43,15
15,57
57,2
2,87
87,97
97,95
95,6
6,94
94,13
13,89
89,52
52,18
18,60
60,5
5,84
84,17
17,45
45,8
8,46
46,83
83,101
102,4
4,25
25,55
55,54
54,24
24,29
29,79
79,3
3,77
77,76
76,50
50,1
1,69
69,27
27,28
28,53
53,58
58,40
40,26
26,12
12,80
80,68
68,21
21,73
73,72
72,75
75,56
56,23
23,67
67,39
39,41
41,22
22,74
74,102
103,88
88,7
7,19
19,11
11,64
64,49
49,36
36,47
47,48
48,82
82,62
62,10
10,63
63,90
90,32
32,20
20,66
66,71
71,65
65,35
35,34
34,78
78,33
33,81
81,9
9,51
51,30
30,70
70,31
31,103
