StartNode,EndNode
250,178
178,210
210,41
41,110
110,109
109,20
20,227
227,29
29,132
132,97
97,51
51,67
67,32
32,233
233,102
102,15
15,219
219,75
75,162
162,181
181,171
171,169
169,52
52,243
243,6
6,37
37,165
165,222
222,111
111,48
48,128
128,45
45,187
187,93
93,161
161,179
179,200
200,63
63,180
180,216
216,46
46,91
91,50
50,94
94,151
151,86
86,149
149,247
247,88
88,245
245,218
218,119
119,239
239,192
192,144
144,152
152,199
199,22
22,120
120,250
251,148
148,170
170,58
58,150
150,36
36,220
220,189
189,106
106,121
121,248
248,89
89,167
167,13
13,203
203,131
131,238
238,10
10,42
42,197
197,194
194,80
80,113
113,103
103,66
66,168
168,47
47,17
17,24
24,40
40,127
127,159
159,134
134,147
147,201
201,78
78,226
226,136
136,56
56,242
242,225
225,241
241,235
235,157
157,249
249,62
62,237
237,177
177,69
69,146
146,135
135,84
84,39
39,122
122,223
223,43
43,82
82,193
193,101
101,251
252,138
138,21
21,186
186,81
81,4
4,145
145,115
115,244
244,108
108,76
76,154
154,87
87,188
188,34
34,95
95,182
182,160
160,7
7,246
246,208
208,25
25,104
104,74
74,215
215,126
126,3
3,123
123,8
8,190
190,112
112,213
213,96
96,166
166,207
207,73
73,198
198,204
204,54
54,30
30,18
18,137
137,124
124,49
49,12
12,211
211,90
90,61
61,130
130,129
129,221
221,205
205,31
31,71
71,231
231,232
232,142
142,68
68,234
234,252
