StartNode,EndNode
101,2
2,57
57,87
87,42
42,43
43,15
15,41
41,75
75,56
56,23
23,67
67,39
39,25
25,55
55,4
4,54
54,24
24,29
29,68
68,80
80,12
12,26
26,53
53,28
28,27
27,89
89,96
96,99
99,59
59,92
92,37
37,98
98,100
100,14
14,44
44,16
16,86
86,38
38,61
61,85
85,91
91,93
93,6
6,94
94,95
95,97
97,13
13,58
58,40
40,21
21,73
73,72
72,74
74,22
22,101
102,69
69,1
1,50
50,76
76,77
77,3
3,79
79,78
78,34
34,35
35,71
71,65
65,66
66,20
20,51
51,9
9,81
81,33
33,70
70,30
30,32
32,90
90,63
63,11
11,64
64,49
49,36
36,47
47,7
7,82
82,48
48,88
88,31
31,10
10,62
62,19
19,46
46,8
8,45
45,17
17,84
84,5
5,60
60,83
83,18
18,52
52,102
