StartNode,EndNode
250,174
174,143
143,48
48,23
23,120
120,22
22,179
179,161
161,187
187,93
93,46
46,216
216,180
180,63
63,200
200,44
44,165
165,6
6,243
243,52
52,169
169,181
181,132
132,97
97,29
29,227
227,20
20,109
109,60
60,110
110,41
41,210
210,250
251,136
136,75
75,219
219,15
15,102
102,39
39,38
38,242
242,223
223,43
43,122
122,146
146,84
84,135
135,237
237,249
249,157
157,82
82,235
235,225
225,241
241,11
11,203
203,57
57,214
214,131
131,238
238,10
10,42
42,197
197,194
194,80
80,113
113,103
103,168
168,47
47,175
175,251
252,184
184,218
218,119
119,245
245,94
94,151
151,86
86,149
149,247
247,88
88,50
50,77
77,91
91,208
208,25
25,141
141,74
74,140
140,7
7,160
160,28
28,156
156,252
253,198
198,73
73,207
207,166
166,96
96,112
112,190
190,8
8,3
3,118
118,123
123,177
177,69
69,163
163,64
64,193
193,101
101,148
148,26
26,9
9,153
153,167
167,89
89,121
121,189
189,150
150,58
58,183
183,36
36,83
83,253
254,79
79,33
33,234
234,209
209,138
138,21
21,100
100,145
145,115
115,244
244,108
108,70
70,99
99,232
232,142
142,68
68,202
202,139
139,229
229,71
71,31
31,205
205,221
221,129
129,130
130,49
49,12
12,133
133,5
5,254
