StartNode,EndNode
501,160
160,414
414,390
390,501
501,471
471,330
330,103
103,501
501,277
277,400
400,353
353,501
501,455
455,53
53,429
429,501
501,289
289,5
5,6
6,501
501,207
207,67
67,311
311,501
501,13
13,95
95,63
63,501
502,140
140,416
416,469
469,502
502,178
178,183
183,224
224,502
502,334
334,46
46,156
156,502
502,267
267,436
436,344
344,502
502,3
3,389
389,188
188,502
502,17
17,131
131,80
80,502
502,218
218,373
373,155
155,502
502,409
409,2
2,369
369,502
503,56
56,355
355,281
281,503
503,377
377,312
312,34
34,503
503,243
243,123
123,407
407,503
503,83
83,193
193,491
491,503
503,239
239,285
285,94
94,503
503,116
116,217
217,172
172,503
504,152
152,461
461,440
440,504
504,465
465,426
426,40
40,504
504,253
253,385
385,19
19,504
504,174
174,230
230,309
309,504
504,132
132,173
173,304
304,504
504,367
367,89
89,496
496,504
504,32
32,306
306,291
291,504
