StartNode,EndNode
250,19
19,185
185,72
72,250
250,49
49,12
12,5
5,250
250,112
112,96
96,30
30,250
250,121
121,106
106,189
189,250
250,242
242,56
56,38
38,250
250,195
195,217
217,170
170,250
250,235
235,113
113,47
47,250
250,67
67,226
226,176
176,250
251,200
200,128
128,111
111,251
251,25
25,141
141,115
115,251
251,246
246,164
164,160
160,251
251,144
144,156
156,28
28,251
251,37
37,44
44,251
251,247
247,149
149,151
151,251
251,187
187,50
50,192
192,251
251,6
6,85
85,41
41,251
251,180
180,14
14,174
174,251
