StartNode,EndNode
101,61
61,5
5,60
60,18
18,89
89,6
6,96
96,99
99,93
93,85
85,101
101,91
91,100
100,37
37,92
92,94
94,13
13,95
95,59
59,98
98,101
101,97
97,87
87,2
2,57
57,15
15,43
43,42
42,14
14,38
38,44
44,101
101,16
16,86
86,17
17,45
45,46
46,48
48,82
82,8
8,83
83,84
84,101
102,21
21,40
40,58
58,53
53,28
28,27
27,69
69,76
76,12
12,26
26,102
102,80
80,68
68,77
77,3
3,79
79,78
78,34
34,29
29,24
24,54
54,102
102,4
4,55
55,25
25,39
39,67
67,23
23,41
41,22
22,75
75,56
56,102
102,72
72,74
74,73
73,102
103,31
31,88
88,52
52,7
7,19
19,47
47,36
36,49
49,64
64,11
11,103
103,10
10,62
62,63
63,90
90,32
32,20
20,30
30,70
70,103
103,1
1,50
50,33
33,81
81,9
9,35
35,71
71,65
65,66
66,51
51,103
