StartNode,EndNode
250,69
69,177
177,237
237,62
62,249
249,43
43,223
223,122
122,242
242,56
56,38
38,39
39,233
233,136
136,32
32,78
78,201
201,24
24,40
40,17
17,55
55,168
168,66
66,80
80,194
194,197
197,42
42,10
10,238
238,131
131,214
214,57
57,203
203,11
11,241
241,225
225,157
157,82
82,224
224,250
250,64
64,125
125,193
193,101
101,114
114,148
148,26
26,9
9,153
153,230
230,58
58,183
183,150
150,220
220,36
36,83
83,206
206,65
65,228
228,53
53,124
124,49
49,211
211,90
90,61
61,129
129,221
221,205
205,31
31,71
71,229
229,139
139,231
231,68
68,142
142,234
234,33
33,72
72,166
166,207
207,73
73,198
198,204
204,8
8,190
190,250
251,152
152,180
180,216
216,63
63,200
200,179
179,161
161,93
93,45
45,212
212,77
77,88
88,245
245,218
218,184
184,156
156,28
28,182
182,95
95,34
34,188
188,87
87,154
154,76
76,155
155,232
232,99
99,70
70,108
108,244
244,145
145,100
100,138
138,21
21,186
186,81
81,4
4,160
160,246
246,251
251,25
25,141
141,74
74,104
104,126
126,116
116,3
3,123
123,135
135,146
146,84
84,102
102,15
15,75
75,162
162,59
59,171
171,181
181,169
169,105
105,132
132,97
97,29
29,227
227,20
20,109
109,60
60,110
110,210
210,178
178,92
92,117
117,98
98,143
143,48
48,196
196,111
111,236
236,23
23,120
120,22
22,44
44,199
199,251
