StartNode,EndNode
101,83
83,82
82,7
7,48
48,47
47,49
49,36
36,46
46,8
8,45
45,101
101,60
60,5
5,61
61,16
16,44
44,14
14,38
38,86
86,17
17,84
84,101
101,18
18,52
52,89
89,6
6,101
102,80
80,68
68,77
77,3
3,79
79,33
33,81
81,78
78,34
34,29
29,102
102,24
24,54
54,55
55,25
25,39
39,67
67,23
23,4
4,26
26,12
12,102
102,28
28,50
50,76
76,27
27,102
103,2
2,57
57,15
15,43
43,59
59,99
99,96
96,95
95,94
94,13
13,103
103,58
58,53
53,40
40,21
21,73
73,72
72,74
74,56
56,75
75,22
22,103
103,41
41,87
87,42
42,100
100,91
91,85
85,93
93,98
98,37
37,92
92,103
103,97
97,103
104,31
31,88
88,62
62,19
19,11
11,64
64,63
63,90
90,32
32,10
10,104
104,70
70,30
30,20
20,66
66,65
65,71
71,35
35,9
9,51
51,1
1,104
104,69
69,104
