StartNode,EndNode
250,190
190,112
112,96
96,250
250,89
89,167
167,13
13,250
250,64
64,125
125,195
195,250
250,189
189,106
106,121
121,250
250,127
127,147
147,51
51,250
250,56
56,242
242,38
38,250
250,173
173,27
27,163
163,250
250,113
113,47
47,67
67,250
250,176
176,219
219,118
118,250
250,2
2,170
170,235
235,250
251,104
104,74
74,215
215,251
251,200
200,216
216,63
63,251
251,180
180,179
179,161
161,251
251,144
144,218
218,184
184,251
251,151
151,149
149,247
247,251
251,77
77,212
212,107
107,251
251,156
156,35
35,239
239,251
251,185
185,209
209,115
115,251
251,7
7,6
6,85
85,251
251,14
14,187
187,46
46,251
251,91
91,50
50,86
86,251
