StartNode,EndNode
250,196
196,41
41,210
210,178
178,92
92,117
117,240
240,98
98,107
107,212
212,45
45,187
187,93
93,46
46,216
216,63
63,180
180,152
152,200
200,199
199,44
44,22
22,120
120,23
23,236
236,111
111,222
222,85
85,169
169,171
171,181
181,162
162,75
75,59
59,136
136,226
226,32
32,201
201,78
78,147
147,51
51,67
67,97
97,132
132,29
29,227
227,20
20,109
109,110
110,60
60,250
250,158
158,134
134,159
159,105
105,48
48,128
128,179
179,161
161,151
151,94
94,149
149,86
86,174
174,143
143,14
14,37
37,165
165,250
251,56
56,39
39,122
122,15
15,219
219,52
52,243
243,16
16,6
6,146
146,84
84,135
135,163
163,224
224,64
64,62
62,237
237,177
177,69
69,249
249,157
157,82
82,225
225,223
223,43
43,2
2,125
125,170
170,106
106,189
189,121
121,248
248,89
89,167
167,13
13,153
153,9
9,26
26,148
148,114
114,101
101,193
193,131
131,214
214,57
57,203
203,11
11,235
235,241
241,38
38,251
251,102
102,233
233,176
176,175
175,168
168,103
103,113
113,80
80,194
194,197
197,42
42,242
242,10
10,238
238,66
66,127
127,40
40,24
24,17
17,55
55,47
47,251
252,49
49,12
12,124
124,130
130,129
129,221
221,205
205,31
31,71
71,229
229,1
1,139
139,202
202,231
231,68
68,142
142,232
232,70
70,99
99,209
209,21
21,138
138,33
33,79
79,5
5,133
133,191
191,30
30,18
18,137
137,173
173,27
27,217
217,83
83,206
206,65
65,228
228,53
53,211
211,61
61,90
90,195
195,54
54,204
204,198
198,73
73,96
96,166
166,207
207,185
185,252
252,19
19,72
72,234
234,213
213,112
112,230
230,58
58,183
183,150
150,220
220,36
36,252
253,188
188,95
95,28
28,156
156,87
87,34
34,182
182,35
35,239
239,119
119,218
218,184
184,192
192,144
144,91
91,50
50,77
77,88
88,247
247,245
245,208
208,246
246,25
25,7
7,164
164,140
140,172
172,186
186,100
100,145
145,115
115,4
4,81
81,141
141,104
104,74
74,116
116,126
126,8
8,3
3,118
118,123
123,190
190,215
215,160
160,76
76,154
154,155
155,108
108,244
244,253
