StartNode,EndNode
250,111
111,250
250,174
174,143
143,128
128,250
250,92
92,117
117,48
48,250
250,98
98,240
240,107
107,250
250,222
222,85
85,105
105,250
250,16
16,171
171,158
158,250
251,176
176,233
233,136
136,251
251,32
32,67
67,201
201,251
251,40
40,127
127,24
24,251
251,51
51,60
60,134
134,251
251,62
62,39
39,102
102,251
252,119
119,245
245,184
184,252
252,88
88,77
77,91
91,252
252,86
86,247
247,151
151,252
252,152
152,252
252,246
246,81
81,87
87,252
253,228
228,53
53,137
137,253
253,198
198,73
73,204
204,253
253,195
195,27
27,253
253,54
54,18
18,173
173,253
253,217
217,248
248,114
114,253
253,224
224,2
2,220
220,253
254,96
96,112
112,126
126,254
254,30
30,191
191,254
254,154
154,76
76,155
155,254
254,79
79,231
231,211
211,254
