StartNode,EndNode
101,91
91,100
100,37
37,98
98,59
59,93
93,99
99,96
96,95
95,97
97,101
101,92
92,94
94,6
6,89
89,27
27,52
52,18
18,60
60,5
5,85
85,101
101,16
16,86
86,38
38,44
44,14
14,43
43,15
15,42
42,87
87,13
13,101
101,83
83,8
8,46
46,45
45,17
17,84
84,61
61,101
102,23
23,67
67,39
39,25
25,55
55,24
24,29
29,68
68,80
80,54
54,102
102,26
26,12
12,76
76,77
77,3
3,79
79,33
33,50
50,28
28,53
53,102
102,58
58,40
40,21
21,73
73,2
2,57
57,41
41,22
22,74
74,72
72,102
102,75
75,56
56,4
4,102
103,31
31,69
69,1
1,10
10,62
62,63
63,90
90,32
32,30
30,70
70,103
103,19
19,11
11,64
64,49
49,36
36,47
47,48
48,82
82,7
7,88
88,103
103,9
9,81
81,78
78,34
34,35
35,71
71,65
65,66
66,20
20,51
51,103
