StartNode,EndNode
250,120
120,22
22,200
200,179
179,161
161,187
187,93
93,46
46,216
216,63
63,180
180,152
152,144
144,192
192,245
245,151
151,86
86,149
149,247
247,91
91,77
77,212
212,107
107,98
98,240
240,117
117,178
178,210
210,41
41,110
110,60
60,109
109,20
20,227
227,29
29,97
97,132
132,105
105,250
251,197
197,194
194,80
80,113
113,103
103,168
168,47
47,175
175,78
78,32
32,226
226,136
136,176
176,233
233,102
102,15
15,52
52,75
75,162
162,181
181,169
169,243
243,16
16,84
84,135
135,118
118,3
3,8
8,190
190,163
163,224
224,177
177,237
237,249
249,157
157,82
82,235
235,241
241,11
11,251
251,10
10,238
238,131
131,57
57,203
203,214
214,251
252,206
206,83
83,36
36,220
220,150
150,58
58,230
230,170
170,2
2,125
125,64
64,193
193,101
101,148
148,26
26,153
153,167
167,89
89,248
248,121
121,189
189,183
183,217
217,27
27,204
204,198
198,207
207,191
191,133
133,211
211,90
90,61
61,129
129,130
130,49
49,12
12,252
253,4
4,81
81,100
100,145
145,154
154,76
76,108
108,70
70,99
99,142
142,68
68,234
234,209
209,138
138,21
21,186
186,164
164,140
140,74
74,104
104,215
215,116
116,126
126,141
141,246
246,208
208,156
156,184
184,218
218,119
119,239
239,35
35,182
182,95
95,34
34,188
188,253
