StartNode,EndNode
250,69
69,177
177,237
237,62
62,249
249,43
43,223
223,38
38,39
39,102
102,15
15,233
233,136
136,32
32,78
78,201
201,24
24,17
17,175
175,55
55,168
168,103
103,80
80,197
197,42
42,194
194,66
66,56
56,242
242,82
82,157
157,250
250,195
195,217
217,58
58,183
183,150
150,220
220,36
36,83
83,206
206,65
65,228
228,53
53,124
124,49
49,130
130,129
129,61
61,90
90,211
211,5
5,191
191,79
79,19
19,72
72,166
166,207
207,198
198,73
73,204
204,54
54,30
30,18
18,137
137,173
173,27
27,250
250,163
163,224
224,203
203,57
57,214
214,131
131,10
10,238
238,13
13,167
167,89
89,248
248,153
153,9
9,230
230,26
26,148
148,250
251,25
25,141
141,74
74,104
104,126
126,116
116,3
3,123
123,16
16,243
243,52
52,75
75,162
162,59
59,171
171,181
181,169
169,105
105,132
132,97
97,29
29,227
227,20
20,109
109,60
60,110
110,210
210,178
178,92
92,117
117,240
240,98
98,107
107,143
143,196
196,48
48,23
23,236
236,111
111,120
120,22
22,44
44,251
251,246
246,160
160,164
164,140
140,172
172,186
186,81
81,4
4,145
145,100
100,138
138,21
21,33
33,234
234,205
205,31
31,71
71,229
229,139
139,202
202,231
231,68
68,142
142,232
232,70
70,99
99,244
244,108
108,155
155,76
76,154
154,87
87,188
188,34
34,95
95,182
182,28
28,156
156,152
152,180
180,63
63,216
216,161
161,179
179,251
