StartNode,EndNode
250,105
105,132
132,97
97,51
51,67
67,201
201,78
78,32
32,226
226,136
136,176
176,233
233,39
39,38
38,242
242,56
56,66
66,194
194,42
42,197
197,80
80,113
113,103
103,168
168,47
47,55
55,175
175,17
17,24
24,40
40,127
127,147
147,159
159,134
134,158
158,60
60,110
110,109
109,20
20,29
29,227
227,41
41,210
210,178
178,92
92,117
117,240
240,98
98,14
14,107
107,250
250,212
212,77
77,45
45,128
128,143
143,174
174,196
196,48
48,23
23,236
236,120
120,22
22,199
199,44
44,37
37,165
165,6
6,243
243,52
52,75
75,162
162,59
59,171
171,181
181,169
169,85
85,222
222,111
111,200
200,179
179,161
161,93
93,187
187,250
251,114
114,148
148,26
26,9
9,153
153,170
170,230
230,58
58,183
183,150
150,220
220,36
36,217
217,83
83,206
206,65
65,228
228,53
53,124
124,49
49,12
12,133
133,5
5,30
30,18
18,137
137,54
54,204
204,198
198,73
73,96
96,112
112,213
213,215
215,74
74,104
104,126
126,116
116,3
3,118
118,123
123,8
8,190
190,237
237,62
62,249
249,157
157,82
82,241
241,11
11,251
251,235
235,225
225,223
223,43
43,122
122,102
102,15
15,219
219,16
16,84
84,135
135,146
146,177
177,69
69,163
163,224
224,64
64,125
125,195
195,173
173,27
27,2
2,101
101,193
193,203
203,57
57,238
238,10
10,131
131,214
214,13
13,167
167,89
89,248
248,121
121,106
106,189
189,251
252,33
33,138
138,21
21,186
186,172
172,140
140,164
164,160
160,7
7,141
141,25
25,246
246,208
208,152
152,180
180,63
63,216
216,46
46,91
91,50
50,88
88,247
247,149
149,86
86,151
151,94
94,245
245,119
119,218
218,184
184,192
192,144
144,239
239,35
35,156
156,28
28,182
182,95
95,34
34,87
87,188
188,4
4,81
81,100
100,145
145,115
115,209
209,244
244,154
154,76
76,252
252,155
155,70
70,232
232,142
142,68
68,231
231,202
202,139
139,1
1,229
229,71
71,31
31,205
205,221
221,129
129,130
130,61
61,90
90,211
211,79
79,191
191,207
207,166
166,19
19,185
185,72
72,234
234,99
99,108
108,252
