StartNode,EndNode
101,58
58,93
93,5
5,60
60,83
83,84
84,17
17,61
61,92
92,13
13,101
101,2
2,87
87,95
95,59
59,99
99,96
96,101
101,94
94,6
6,89
89,18
18,52
52,27
27,28
28,26
26,53
53,40
40,101
101,57
57,42
42,14
14,38
38,43
43,15
15,22
22,74
74,72
72,73
73,101
101,21
21,4
4,55
55,25
25,39
39,67
67,23
23,56
56,75
75,41
41,101
101,97
97,37
37,98
98,85
85,16
16,86
86,44
44,91
91,100
100,101
102,19
19,11
11,64
64,49
49,36
36,47
47,46
46,45
45,8
8,82
82,102
102,31
31,88
88,70
70,30
30,32
32,90
90,63
63,10
10,102
102,7
7,48
48,62
62,20
20,66
66,65
65,71
71,35
35,9
9,51
51,102
102,69
69,76
76,77
77,3
3,79
79,50
50,1
1,102
102,33
33,81
81,78
78,34
34,29
29,24
24,54
54,80
80,68
68,12
12,102
