StartNode,EndNode
250,98
98,240
240,92
92,250
250,181
181,169
169,222
222,250
250,37
37,126
126,171
171,250
250,107
107,14
14,143
143,250
251,175
175,251
251,201
201,51
51,67
67,251
251,38
38,242
242,56
56,251
251,40
40,127
127,24
24,251
251,62
62,162
162,226
226,251
252,34
34,87
87,35
35,252
252,94
94,151
151,245
245,252
252,149
149,86
86,247
247,252
252,88
88,77
77,91
91,252
253,54
54,137
137,173
173,253
253,170
170,2
2,195
195,253
253,124
124,53
53,228
228,253
253,206
206,220
220,248
248,253
253,204
204,73
73,198
198,253
254,191
191,18
18,30
30,254
254,209
209,234
234,33
33,254
254,61
61,90
90,79
79,254
254,211
211,231
231,81
81,254
