StartNode,EndNode
101,100
100,42
42,43
43,15
15,57
57,87
87,97
97,92
92,37
37,98
98,101
101,85
85,93
93,99
99,96
96,6
6,94
94,13
13,95
95,59
59,5
5,101
101,60
60,84
84,45
45,17
17,61
61,86
86,16
16,44
44,14
14,38
38,101
101,91
91,46
46,48
48,7
7,82
82,8
8,83
83,18
18,52
52,89
89,101
102,56
56,39
39,23
23,75
75,22
22,41
41,2
2,58
58,40
40,21
21,102
102,73
73,72
72,74
74,67
67,25
25,80
80,68
68,77
77,76
76,27
27,102
102,28
28,26
26,12
12,54
54,24
24,29
29,79
79,3
3,53
53,55
55,102
102,4
4,102
103,63
63,90
90,32
32,10
10,62
62,88
88,31
31,69
69,1
1,51
51,103
103,9
9,35
35,71
71,65
65,34
34,78
78,81
81,33
33,50
50,70
70,103
103,30
30,20
20,66
66,64
64,49
49,36
36,47
47,19
19,11
11,103
