StartNode,EndNode
250,196
196,250
250,178
178,250
250,143
143,250
250,117
117,250
250,60
60,250
250,199
199,250
250,158
158,250
250,116
116,250
251,52
52,251
251,233
233,251
251,66
66,251
251,225
225,251
251,201
201,251
251,147
147,251
251,17
17,251
251,159
159,251
252,239
239,252
252,28
28,252
252,144
144,252
252,77
77,252
252,35
35,252
252,149
149,252
252,45
45,252
252,215
215,252
253,27
27,253
253,54
54,253
253,83
83,253
253,195
195,253
253,213
213,253
253,13
13,253
253,106
106,253
253,65
65,253
254,155
155,254
254,4
4,254
254,172
172,254
254,1
1,254
254,124
124,254
