StartNode,EndNode
101,60
60,5
5,61
61,16
16,86
86,38
38,44
44,100
100,37
37,98
98,91
91,14
14,43
43,42
42,87
87,97
97,95
95,13
13,94
94,6
6,101
101,89
89,18
18,52
52,88
88,31
31,70
70,10
10,62
62,19
19,11
11,63
63,90
90,32
32,64
64,49
49,36
36,47
47,48
48,82
82,7
7,101
101,8
8,46
46,45
45,17
17,84
84,85
85,93
93,99
99,96
96,59
59,92
92,83
83,101
102,80
80,68
68,77
77,3
3,79
79,78
78,34
34,35
35,71
71,65
65,66
66,20
20,30
30,51
51,9
9,81
81,33
33,50
50,76
76,12
12,102
102,28
28,1
1,69
69,27
27,53
53,58
58,40
40,26
26,21
21,73
73,72
72,75
75,56
56,23
23,67
67,39
39,25
25,55
55,24
24,29
29,102
102,4
4,54
54,2
2,57
57,15
15,41
41,22
22,74
74,102
