StartNode,EndNode
250,6
6,250
250,14
14,250
250,200
200,250
250,208
208,250
250,246
246,250
250,212
212,250
250,45
45,250
250,107
107,250
250,105
105,250
251,11
11,251
251,242
242,251
251,57
57,251
251,238
238,251
251,39
39,251
251,16
16,251
251,201
201,251
251,134
134,251
251,159
159,251
252,124
124,252
252,33
33,252
252,53
53,252
252,130
130,252
252,129
129,252
252,221
221,252
252,112
112,252
252,106
106,252
252,19
19,252
252,72
72,252
253,81
81,253
253,35
35,253
253,139
139,253
253,209
209,253
253,7
7,253
253,182
182,253
253,115
115,253
253,213
213,253
253,138
138,253
253,87
87,253
253,34
34,253
