StartNode,EndNode
250,54
54,137
137,18
18,30
30,191
191,79
79,19
19,72
72,166
166,207
207,96
96,73
73,198
198,217
217,83
83,206
206,65
65,220
220,36
36,150
150,183
183,58
58,230
230,13
13,167
167,89
89,248
248,153
153,9
9,26
26,148
148,114
114,101
101,193
193,203
203,57
57,214
214,131
131,238
238,10
10,42
42,197
197,194
194,80
80,66
66,103
103,168
168,55
55,175
175,17
17,24
24,40
40,127
127,147
147,134
134,158
158,60
60,110
110,210
210,109
109,20
20,227
227,29
29,132
132,97
97,51
51,201
201,78
78,32
32,59
59,75
75,162
162,181
181,171
171,169
169,243
243,52
52,15
15,102
102,233
233,39
39,38
38,242
242,56
56,11
11,241
241,225
225,223
223,43
43,122
122,62
62,249
249,157
157,82
82,163
163,250
251,141
141,104
104,74
74,215
215,126
126,116
116,3
3,135
135,84
84,16
16,165
165,222
222,105
105,92
92,178
178,117
117,240
240,98
98,107
107,143
143,48
48,196
196,111
111,236
236,23
23,128
128,161
161,179
179,200
200,63
63,180
180,216
216,144
144,184
184,218
218,239
239,35
35,182
182,28
28,95
95,34
34,188
188,87
87,154
154,76
76,155
155,108
108,244
244,99
99,70
70,232
232,142
142,68
68,231
231,202
202,139
139,229
229,71
71,31
31,205
205,221
221,129
129,130
130,49
49,5
5,61
61,90
90,211
211,33
33,234
234,138
138,21
21,145
145,100
100,186
186,81
81,4
4,140
140,164
164,160
160,251
