StartNode,EndNode
250,163
163,224
224,157
157,249
249,62
62,237
237,177
177,69
69,190
190,8
8,122
122,43
43,223
223,225
225,241
241,11
11,235
235,82
82,64
64,125
125,204
204,198
198,73
73,96
96,112
112,213
213,166
166,207
207,54
54,18
18,30
30,191
191,19
19,185
185,72
72,33
33,234
234,100
100,209
209,138
138,21
21,186
186,81
81,4
4,115
115,145
145,244
244,108
108,70
70,99
99,142
142,68
68,154
154,76
76,155
155,232
232,231
231,202
202,139
139,1
1,229
229,71
71,31
31,205
205,221
221,129
129,130
130,49
49,12
12,133
133,5
5,211
211,90
90,61
61,79
79,83
83,206
206,65
65,106
106,121
121,248
248,13
13,167
167,89
89,189
189,183
183,58
58,150
150,36
36,220
220,53
53,228
228,124
124,137
137,173
173,27
27,217
217,26
26,9
9,153
153,230
230,170
170,2
2,195
195,148
148,114
114,101
101,193
193,203
203,57
57,214
214,131
131,238
238,10
10,42
42,197
197,194
194,80
80,113
113,103
103,168
168,47
47,55
55,175
175,66
66,38
38,242
242,56
56,250
251,208
208,180
180,63
63,216
216,46
46,236
236,23
23,196
196,48
48,174
174,143
143,14
14,107
107,98
98,240
240,117
117,92
92,178
178,210
210,41
41,29
29,227
227,20
20,109
109,110
110,60
60,158
158,134
134,159
159,147
147,127
127,40
40,24
24,17
17,78
78,32
32,201
201,67
67,51
51,97
97,132
132,105
105,85
85,222
222,165
165,6
6,243
243,52
52,219
219,15
15,102
102,39
39,233
233,176
176,136
136,226
226,59
59,171
171,181
181,169
169,75
75,162
162,3
3,118
118,123
123,135
135,146
146,84
84,16
16,116
116,126
126,215
215,104
104,74
74,140
140,160
160,7
7,164
164,172
172,141
141,25
25,246
246,44
44,199
199,200
200,87
87,34
34,95
95,182
182,28
28,156
156,152
152,144
144,245
245,94
94,151
151,86
86,149
149,247
247,88
88,50
50,91
91,77
77,212
212,45
45,187
187,93
93,161
161,179
179,128
128,120
120,22
22,239
239,35
35,119
119,218
218,184
184,192
192,188
188,37
37,111
111,251
