StartNode,EndNode
101,60
60,52
52,30
30,20
20,66
66,65
65,35
35,34
34,78
78,29
29,80
80,12
12,54
54,55
55,25
25,39
39,67
67,23
23,22
22,41
41,57
57,99
99,5
5,101
102,26
26,13
13,95
95,59
59,93
93,16
16,38
38,86
86,17
17,45
45,8
8,46
46,36
36,47
47,48
48,7
7,69
69,1
1,51
51,71
71,9
9,81
81,33
33,79
79,3
3,102
103,87
87,97
97,37
37,100
100,91
91,44
44,14
14,43
43,15
15,42
42,92
92,96
96,94
94,6
6,89
89,18
18,82
82,19
19,64
64,63
63,10
10,70
70,50
50,76
76,28
28,27
27,53
53,58
58,40
40,103
104,77
77,68
68,24
24,4
4,56
56,75
75,74
74,72
72,21
21,73
73,2
2,98
98,85
85,61
61,84
84,83
83,88
88,32
32,90
90,11
11,49
49,62
62,31
31,104
