StartNode,EndNode
101,18
18,101
101,94
94,101
101,5
5,101
101,84
84,101
101,47
47,101
101,7
7,101
101,45
45,101
101,83
83,101
101,8
8,101
101,82
82,101
101,52
52,101
101,16
16,101
101,46
46,101
102,26
26,102
102,24
24,102
102,12
12,102
102,80
80,102
102,68
68,102
102,34
34,102
102,9
9,102
102,35
35,102
102,71
71,102
102,77
77,102
103,58
58,103
103,72
72,103
103,40
40,103
103,87
87,103
103,75
75,103
103,56
56,103
103,4
4,103
103,57
57,103
103,53
53,103
103,14
14,103
103,21
21,103
104,88
88,104
104,51
51,104
104,31
31,104
104,10
10,104
104,70
70,104
104,36
36,104
104,49
49,104
104,64
64,104
