StartNode,EndNode
1001,102
102,59
59,340
340,728
728,371
371,271
271,44
44,187
187,155
155,376
376,453
453,793
793,823
823,246
246,687
687,133
133,49
49,905
905,46
46,679
679,858
858,516
516,837
837,478
478,918
918,427
427,447
447,592
592,266
266,188
188,977
977,995
995,385
385,871
871,149
149,4
4,321
321,1
1,207
207,787
787,288
288,810
810,922
922,818
818,344
344,979
979,830
830,350
350,251
251,806
806,740
740,910
910,712
712,492
492,95
95,144
144,940
940,305
305,803
803,562
562,411
411,10
10,933
933,389
389,694
694,333
333,727
727,446
446,656
656,734
734,619
619,762
762,633
633,642
642,850
850,471
471,55
55,272
272,51
51,957
957,795
795,639
639,693
693,386
386,124
124,724
724,5
5,884
884,449
449,559
559,532
532,511
511,463
463,487
487,605
605,183
183,337
337,703
703,524
524,35
35,85
85,948
948,698
698,932
932,157
157,512
512,1000
1000,454
454,433
433,756
756,1001
1002,416
416,299
299,988
988,309
309,419
419,436
436,692
692,779
779,104
104,27
27,961
961,455
455,816
816,3
3,34
34,472
472,136
136,71
71,903
903,80
80,147
147,866
866,788
788,927
927,307
307,723
723,760
760,801
801,176
176,96
96,668
668,311
311,960
960,341
341,681
681,140
140,853
853,714
714,154
154,675
675,906
906,387
387,58
58,606
606,935
935,558
558,218
218,338
338,401
401,445
445,895
895,896
896,326
326,981
981,618
618,611
611,641
641,522
522,528
528,346
346,175
175,970
970,501
501,393
393,778
778,624
624,832
832,886
886,142
142,262
262,912
912,21
21,519
519,520
520,563
563,204
204,125
125,132
132,448
448,298
298,879
879,649
649,205
205,181
181,600
600,759
759,814
814,921
921,744
744,264
264,123
123,52
52,887
887,682
682,899
899,43
43,950
950,422
422,153
153,643
643,548
548,999
999,197
197,394
394,768
768,457
457,164
164,713
713,716
716,198
198,748
748,726
726,195
195,953
953,368
368,323
323,754
754,14
14,969
969,765
765,174
174,169
169,541
541,573
573,783
783,731
731,425
425,984
984,786
786,304
304,227
227,101
101,466
466,20
20,833
833,859
859,766
766,518
518,353
353,403
403,862
862,391
391,107
107,580
580,880
880,560
560,996
996,590
590,629
629,279
279,661
661,800
800,634
634,891
891,414
414,750
750,604
604,303
303,413
413,418
418,782
782,914
914,543
543,39
39,825
825,514
514,127
127,630
630,968
968,536
536,36
36,673
673,194
194,654
654,131
131,441
441,313
313,484
484,134
134,733
733,784
784,444
444,1002
1003,263
263,443
443,18
18,761
761,843
843,836
836,951
951,7
7,435
435,691
691,88
88,295
295,297
297,805
805,822
822,497
497,417
417,708
708,650
650,812
812,93
93,967
967,74
74,293
293,210
210,913
913,725
725,686
686,156
156,26
26,638
638,345
345,664
664,261
261,876
876,603
603,222
222,232
232,755
755,683
683,184
184,840
840,215
215,502
502,631
631,79
79,382
382,737
737,565
565,150
150,89
89,76
76,483
483,331
331,870
870,845
845,972
972,115
115,954
954,267
267,567
567,568
568,841
841,377
377,407
407,628
628,162
162,360
360,549
549,653
653,67
67,945
945,966
966,189
189,780
780,490
490,982
982,582
582,993
993,622
622,645
645,794
794,775
775,695
695,292
292,540
540,47
47,265
265,820
820,973
973,575
575,192
192,275
275,69
69,508
508,137
137,29
29,78
78,410
410,965
965,470
470,468
468,28
28,258
258,429
429,709
709,617
617,493
493,587
587,939
939,946
946,894
894,138
138,958
958,135
135,507
507,569
569,81
81,608
608,599
599,956
956,229
229,145
145,290
290,746
746,469
469,362
362,243
243,616
616,722
722,477
477,106
106,225
225,907
907,286
286,869
869,736
736,361
361,842
842,460
460,202
202,770
770,785
785,284
284,684
684,978
978,82
82,32
32,56
56,196
196,1003
1004,122
122,257
257,412
412,310
310,320
320,890
890,314
314,400
400,489
489,571
571,318
318,640
640,597
597,609
609,627
627,48
48,857
857,751
751,274
274,378
378,601
601,964
964,63
63,564
564,719
719,513
513,583
583,357
357,526
526,856
856,328
328,861
861,706
706,885
885,496
496,647
647,509
509,268
268,792
792,811
811,504
504,819
819,666
666,165
165,392
392,544
544,839
839,757
757,442
442,316
316,22
22,990
990,214
214,224
224,327
327,285
285,211
211,40
40,829
829,291
291,813
813,121
121,535
535,635
635,119
119,342
342,844
844,254
254,9
9,420
420,216
216,235
235,312
312,479
479,623
623,203
203,366
366,846
846,919
919,521
521,824
824,505
505,665
665,523
523,467
467,16
16,898
898,621
621,851
851,926
926,390
390,889
889,732
732,111
111,98
98,749
749,465
465,324
324,120
120,369
369,566
566,860
860,553
553,934
934,185
185,729
729,8
8,677
677,356
356,358
358,900
900,772
772,219
219,50
50,300
300,424
424,461
461,741
741,306
306,110
110,676
676,17
17,920
920,667
667,888
888,974
974,75
75,556
556,60
60,574
574,347
347,193
193,767
767,959
959,537
537,1004
