StartNode,EndNode
1001,604
604,461
461,626
626,352
352,276
276,134
134,720
720,754
754,625
625,95
95,676
676,968
968,90
90,522
522,171
171,793
793,48
48,185
185,24
24,812
812,695
695,787
787,617
617,630
630,346
346,781
781,94
94,870
870,578
578,325
325,616
616,611
611,822
822,488
488,753
753,615
615,484
484,829
829,556
556,490
490,653
653,916
916,569
569,474
474,274
274,411
411,797
797,487
487,784
784,956
956,686
686,278
278,328
328,279
279,596
596,537
537,210
210,975
975,191
191,557
557,337
337,23
23,957
957,903
903,448
448,354
354,179
179,335
335,309
309,269
269,283
283,9
9,178
178,284
284,780
780,864
864,752
752,825
825,777
777,826
826,741
741,70
70,120
120,982
982,697
697,631
631,206
206,404
404,619
619,593
593,68
68,65
65,492
492,251
251,895
895,302
302,564
564,710
710,434
434,105
105,473
473,606
606,805
805,799
799,308
308,438
438,929
929,647
647,77
77,300
300,393
393,904
904,534
534,366
366,463
463,239
239,935
935,581
581,773
773,31
31,712
712,951
951,819
819,973
973,416
416,32
32,602
602,915
915,332
332,603
603,878
878,843
843,876
876,930
930,375
375,757
757,810
810,175
175,657
657,12
12,118
118,817
817,467
467,637
637,20
20,705
705,820
820,359
359,256
256,721
721,34
34,620
620,1001
1002,879
879,884
884,228
228,546
546,252
252,280
280,862
862,143
143,53
53,750
750,716
716,496
496,821
821,230
230,215
215,804
804,726
726,944
944,592
592,656
656,430
430,855
855,217
217,738
738,482
482,510
510,422
422,233
233,446
446,153
153,675
675,381
381,255
255,92
92,341
341,702
702,994
994,472
472,605
605,459
459,74
74,834
834,852
852,426
426,419
419,628
628,106
106,609
609,874
874,988
988,344
344,190
190,47
47,288
288,363
363,635
635,853
853,655
655,129
129,158
158,789
789,96
96,788
788,242
242,756
756,40
40,414
414,871
871,216
216,691
691,976
976,127
127,264
264,403
403,815
815,231
231,529
529,204
204,729
729,131
131,113
113,792
792,271
271,851
851,778
778,371
371,265
265,913
913,429
429,685
685,64
64,760
760,449
449,125
125,391
391,208
208,5
5,614
614,681
681,942
942,202
202,959
959,758
758,170
170,733
733,481
481,245
245,794
794,226
226,847
847,550
550,149
149,475
475,970
970,658
658,700
700,326
326,221
221,347
347,82
82,509
509,696
696,402
402,237
237,961
961,297
297,30
30,142
142,384
384,709
709,420
420,333
333,501
501,519
519,663
663,489
489,66
66,444
444,42
42,914
914,91
91,101
101,651
651,169
169,84
84,114
114,406
406,512
512,573
573,99
99,22
22,253
253,963
963,764
764,257
257,380
380,464
464,298
298,1002
1003,172
172,926
926,551
551,515
515,462
462,295
295,254
254,400
400,240
240,828
828,16
16,943
943,640
640,376
376,8
8,157
157,136
136,292
292,811
811,632
632,584
584,141
141,893
893,842
842,570
570,535
535,909
909,845
845,966
966,707
707,385
385,386
386,507
507,983
983,583
583,409
409,72
72,107
107,340
340,165
165,258
258,329
329,877
877,183
183,923
923,87
87,530
530,320
320,765
765,36
36,373
373,160
160,694
694,987
987,666
666,541
541,520
520,659
659,110
110,80
80,396
396,571
571,410
410,521
521,531
531,334
334,193
193,548
548,731
731,137
137,440
440,997
997,641
641,266
266,938
938,723
723,511
511,370
370,586
586,150
150,4
4,351
351,722
722,287
287,310
310,148
148,844
844,989
989,378
378,234
234,890
890,272
272,538
538,775
775,425
425,684
684,883
883,2
2,560
560,103
103,622
622,159
159,83
83,441
441,836
836,147
147,305
305,664
664,978
978,872
872,661
661,236
236,856
856,665
665,549
549,964
964,458
458,554
554,480
480,10
10,433
433,364
364,771
771,892
892,21
21,166
166,285
285,104
104,703
703,690
690,238
238,875
875,746
746,682
682,289
289,67
67,321
321,27
27,924
924,533
533,763
763,28
28,219
219,585
585,56
56,205
205,920
920,936
936,545
545,319
319,824
824,17
17,621
621,869
869,774
774,594
594,100
100,124
124,580
580,979
979,524
524,140
140,250
250,552
552,782
782,931
931,949
949,330
330,218
218,950
950,986
986,315
315,405
405,117
117,719
719,1003
1004,525
525,348
348,785
785,506
506,687
687,523
523,377
377,246
246,941
941,11
11,51
51,423
423,164
164,940
940,188
188,88
88,79
79,508
508,262
262,642
642,734
734,273
273,638
638,397
397,486
486,358
358,806
806,972
972,526
526,443
443,706
706,350
350,37
37,601
601,643
643,867
867,902
902,835
835,918
918,761
761,699
699,108
108,725
725,225
225,224
224,212
212,249
249,688
688,974
974,177
177,35
35,639
639,912
912,368
368,971
971,223
223,327
327,55
55,528
528,312
312,455
455,424
424,813
813,832
832,646
646,674
674,627
627,927
927,306
306,115
115,917
917,144
144,654
654,81
81,887
887,356
356,304
304,44
44,618
618,324
324,483
483,52
52,672
672,831
831,412
412,39
39,673
673,597
597,795
795,294
294,886
886,779
779,888
888,948
948,984
984,331
331,937
937,176
176,112
112,910
910,277
277,649
649,718
718,241
241,841
841,680
680,286
286,156
156,814
814,717
717,715
715,739
739,633
633,698
698,121
121,850
850,268
268,514
514,807
807,901
901,282
282,293
293,747
747,934
934,732
732,296
296,311
311,598
598,211
211,151
151,889
889,360
360,624
624,428
428,992
992,848
848,790
790,43
43,800
800,203
203,517
517,196
196,946
946,563
563,229
229,29
29,759
759,840
840,322
322,579
579,577
577,839
839,97
97,180
180,392
392,357
357,558
558,772
772,755
755,678
678,667
667,932
932,767
767,922
922,495
495,652
652,809
809,98
98,126
126,174
174,1004
1005,417
417,214
214,244
244,45
45,336
336,471
471,431
431,714
714,128
128,415
415,945
945,116
116,465
465,827
827,952
952,990
990,751
751,456
456,318
318,349
349,232
232,518
518,882
882,590
590,439
439,562
562,62
62,561
561,748
748,582
582,539
539,728
728,607
607,791
791,133
133,361
361,58
58,933
933,189
189,119
119,897
897,102
102,559
559,575
575,846
846,591
591,469
469,132
132,201
201,783
783,540
540,749
749,998
998,808
808,629
629,863
863,281
281,768
768,679
679,290
290,197
197,155
155,668
668,460
460,75
75,248
248,891
891,544
544,899
899,243
243,683
683,478
478,996
996,854
854,880
880,636
636,885
885,744
744,387
387,671
671,485
485,907
907,220
220,303
303,589
589,247
247,736
736,911
911,947
947,740
740,858
858,301
301,873
873,388
388,660
660,192
192,796
796,85
85,437
437,494
494,965
965,999
999,803
