StartNode,EndNode
101,60
60,5
5,84
84,17
17,45
45,46
46,8
8,82
82,7
7,88
88,62
62,11
11,19
19,48
48,47
47,36
36,49
49,64
64,63
63,90
90,10
10,52
52,18
18,83
83,101
102,80
80,68
68,29
29,24
24,54
54,4
4,55
55,25
25,39
39,67
67,23
23,56
56,75
75,22
22,41
41,74
74,72
72,73
73,21
21,40
40,58
58,27
27,28
28,12
12,26
26,102
103,2
2,42
42,57
57,15
15,43
43,44
44,14
14,38
38,86
86,16
16,61
61,85
85,91
91,100
100,37
37,98
98,93
93,99
99,96
96,6
6,89
89,94
94,95
95,92
92,59
59,97
97,87
87,53
53,13
13,103
104,69
69,1
1,50
50,76
76,77
77,3
3,79
79,78
78,34
34,35
35,71
71,65
65,66
66,20
20,32
32,70
70,31
31,51
51,9
9,81
81,33
33,30
30,104
