StartNode,EndNode
250,85
85,132
132,97
97,250
250,240
240,98
98,196
196,250
250,92
92,210
210,41
41,250
250,134
134,159
159,147
147,250
250,236
236,200
200,199
199,250
251,242
242,251
251,43
43,62
62,69
69,251
251,113
113,103
103,168
168,251
251,47
47,17
17,175
175,251
251,11
11,219
219,171
171,251
251,55
55,24
24,38
38,251
252,124
124,53
53,228
228,252
252,123
123,114
114,27
27,252
252,30
30,18
18,137
137,252
252,100
100,1
1,71
71,252
253,182
182,34
34,253
253,140
140,164
164,253
253,141
141,104
104,74
74,253
253,126
126,116
116,215
215,253
253,50
50,88
88,94
94,253
