StartNode,EndNode
101,83
83,101
101,60
60,5
5,101
101,96
96,98
98,92
92,95
95,101
101,89
89,6
6,101
101,84
84,17
17,45
45,8
8,101
101,16
16,38
38,86
86,101
101,82
82,47
47,48
48,88
88,101
102,80
80,102
102,12
12,102
102,51
51,9
9,33
33,81
81,102
102,1
1,34
34,78
78,29
29,102
102,54
54,39
39,53
53,26
26,102
102,55
55,67
67,23
23,102
103,76
76,50
50,77
77,68
68,103
103,87
87,97
97,103
103,94
94,99
99,59
59,13
13,103
103,41
41,73
73,103
103,56
56,22
22,75
75,74
74,103
103,42
42,43
43,15
15,57
57,103
103,21
21,40
40,103
104,19
19,64
64,63
63,10
10,104
104,70
70,104
104,31
31,104
104,52
52,18
18,7
7,104
104,62
62,11
11,90
90,32
32,104
104,69
69,27
27,104
104,65
65,104
