StartNode,EndNode
250,111
111,236
236,23
23,48
48,196
196,174
174,143
143,14
14,98
98,240
240,117
117,92
92,178
178,210
210,41
41,110
110,60
60,158
158,105
105,85
85,222
222,165
165,6
6,243
243,16
16,84
84,146
146,135
135,3
3,118
118,123
123,190
190,8
8,213
213,112
112,215
215,126
126,116
116,37
37,44
44,199
199,200
200,179
179,161
161,128
128,45
45,107
107,212
212,22
22,120
120,250
251,175
175,55
55,47
47,168
168,66
66,103
103,113
113,80
80,194
194,197
197,42
42,10
10,238
238,131
131,214
214,57
57,203
203,11
11,241
241,225
225,223
223,43
43,122
122,38
38,242
242,56
56,176
176,136
136,226
226,78
78,32
32,201
201,24
24,40
40,127
127,147
147,159
159,134
134,51
51,67
67,132
132,97
97,29
29,227
227,20
20,109
109,17
17,219
219,15
15,102
102,39
39,233
233,52
52,169
169,171
171,181
181,162
162,75
75,59
59,251
252,239
239,35
35,156
156,144
144,192
192,184
184,218
218,119
119,245
245,94
94,151
151,86
86,149
149,247
247,88
88,50
50,77
77,91
91,187
187,93
93,46
46,216
216,63
63,180
180,152
152,208
208,246
246,25
25,141
141,104
104,74
74,140
140,164
164,160
160,7
7,155
155,76
76,154
154,87
87,188
188,95
95,28
28,182
182,34
34,115
115,252
253,27
27,83
83,217
217,195
195,2
2,170
170,26
26,148
148,114
114,101
101,193
193,125
125,64
64,163
163,69
69,177
177,237
237,249
249,157
157,82
82,235
235,13
13,167
167,89
89,248
248,121
121,106
106,189
189,153
153,9
9,230
230,58
58,183
183,150
150,220
220,36
36,173
173,53
53,228
228,65
65,206
206,62
62,224
224,253
254,191
191,30
30,18
18,137
137,54
54,204
204,96
96,73
73,198
198,166
166,207
207,19
19,185
185,72
72,33
33,21
21,209
209,234
234,68
68,231
231,202
202,139
139,1
1,229
229,71
71,31
31,205
205,221
221,129
129,130
130,124
124,49
49,12
12,5
5,133
133,79
79,61
61,90
90,211
211,172
172,186
186,81
81,4
4,244
244,108
108,70
70,99
99,232
232,142
142,145
145,100
100,138
138,254
