StartNode,EndNode
250,177
177,250
250,125
125,250
250,37
37,250
250,224
224,250
250,38
38,250
250,242
242,250
250,175
175,250
250,146
146,250
250,228
228,250
250,53
53,250
250,84
84,250
250,206
206,250
250,64
64,250
250,195
195,250
250,121
121,250
250,106
106,250
250,56
56,250
250,230
230,250
250,13
13,250
250,159
159,250
250,16
16,250
250,235
235,250
250,219
219,250
250,226
226,250
250,67
67,250
250,47
47,250
250,12
12,250
250,118
118,250
250,170
170,250
250,113
113,250
250,176
176,250
251,246
246,251
251,208
208,251
251,25
25,251
251,152
152,251
251,44
44,251
251,151
151,251
251,92
92,251
251,178
178,251
251,165
165,251
251,149
149,251
251,45
45,251
251,212
212,251
251,239
239,251
251,35
35,251
251,243
243,251
251,199
199,251
251,46
46,251
251,187
187,251
251,6
6,251
251,7
7,251
251,185
185,251
251,1
1,251
251,115
115,251
251,209
209,251
251,192
192,251
251,119
119,251
251,91
91,251
251,50
50,251
251,94
94,251
251,14
14,251
251,41
41,251
251,85
85,251
251,174
174,251
