StartNode,EndNode
250,163
163,224
224,64
64,125
125,170
170,230
230,9
9,153
153,189
189,106
106,121
121,248
248,89
89,167
167,13
13,58
58,183
183,150
150,220
220,36
36,217
217,2
2,195
195,26
26,148
148,114
114,101
101,193
193,203
203,57
57,214
214,131
131,238
238,10
10,42
42,197
197,194
194,80
80,113
113,103
103,168
168,47
47,55
55,17
17,24
24,40
40,127
127,147
147,159
159,134
134,158
158,60
60,110
110,41
41,210
210,109
109,20
20,227
227,29
29,97
97,132
132,67
67,51
51,201
201,78
78,32
32,226
226,136
136,176
176,233
233,169
169,181
181,171
171,59
59,162
162,75
75,219
219,15
15,52
52,102
102,39
39,38
38,242
242,56
56,66
66,175
175,84
84,8
8,190
190,112
112,96
96,73
73,198
198,204
204,54
54,30
30,18
18,137
137,173
173,27
27,83
83,206
206,65
65,228
228,53
53,124
124,49
49,12
12,133
133,5
5,191
191,207
207,166
166,213
213,3
3,135
135,146
146,122
122,43
43,223
223,225
225,241
241,11
11,235
235,82
82,157
157,249
249,62
62,237
237,177
177,69
69,123
123,118
118,250
251,188
188,34
34,95
95,182
182,28
28,160
160,7
7,164
164,140
140,172
172,138
138,21
21,186
186,81
81,4
4,100
100,145
145,115
115,209
209,234
234,33
33,72
72,185
185,19
19,79
79,211
211,90
90,61
61,130
130,129
129,221
221,205
205,31
31,71
71,229
229,1
1,139
139,202
202,231
231,68
68,142
142,232
232,70
70,99
99,244
244,108
108,155
155,76
76,154
154,87
87,35
35,239
239,119
119,218
218,184
184,192
192,144
144,91
91,50
50,245
245,94
94,151
151,86
86,149
149,247
247,88
88,77
77,212
212,45
45,187
187,93
93,46
46,216
216,63
63,200
200,179
179,161
161,199
199,44
44,37
37,165
165,6
6,243
243,16
16,116
116,126
126,215
215,74
74,104
104,141
141,25
25,246
246,208
208,156
156,152
152,180
180,22
22,120
120,23
23,236
236,111
111,196
196,48
48,128
128,143
143,174
174,14
14,107
107,98
98,240
240,117
117,178
178,92
92,105
105,85
85,222
222,251
