StartNode,EndNode
1001,604
604,115
115,52
52,908
908,627
627,39
39,546
546,491
491,317
317,120
120,631
631,619
619,65
65,858
858,740
740,947
947,247
247,589
589,312
312,55
55,327
327,971
971,223
223,301
301,873
873,224
224,212
212,965
965,647
647,177
177,743
743,823
823,19
19,581
581,31
31,38
38,416
416,32
32,41
41,602
602,260
260,915
915,332
332,603
603,878
878,843
843,768
768,876
876,930
930,375
375,757
757,810
810,281
281,175
175,629
629,863
863,657
657,12
12,118
118,817
817,711
711,500
500,977
977,820
820,705
705,860
860,679
679,290
290,20
20,637
637,516
516,467
467,502
502,399
399,713
713,197
197,155
155,668
668,7
7,15
15,728
728,654
654,887
887,304
304,44
44,324
324,618
618,356
356,917
917,144
144,81
81,184
184,607
607,791
791,133
133,6
6,261
261,693
693,769
769,595
595,498
498,979
979,168
168,524
524,148
148,310
310,287
287,722
722,351
351,336
336,990
990,751
751,456
456,318
318,305
305,968
968,830
830,418
418,95
95,439
439,199
199,345
345,939
939,395
395,991
991,93
93,25
25,138
138,342
342,730
730,553
553,432
432,670
670,130
130,838
838,900
900,576
576,18
18,200
200,58
58,361
361,933
933,189
189,119
119,897
897,207
207,469
469,61
61,783
783,201
201,132
132,749
749,540
540,998
998,808
808,59
59,372
372,227
227,497
497,591
591,648
648,881
881,575
575,846
846,559
559,102
102,1001
1002,879
879,918
918,982
982,442
442,309
309,269
269,831
831,672
672,786
786,993
993,339
339,610
610,527
527,222
222,539
539,921
921,394
394,479
479,33
33,275
275,453
453,316
316,427
427,100
100,774
774,621
621,17
17,714
714,431
431,471
471,844
844,989
989,952
952,827
827,763
763,533
533,924
924,27
27,321
321,67
67,83
83,622
622,103
103,560
560,2
2,883
883,617
617,787
787,695
695,812
812,24
24,690
690,703
703,325
325,616
616,611
611,753
753,615
615,21
21,829
829,556
556,490
490,964
964,896
896,458
458,480
480,892
892,364
364,771
771,362
362,701
701,353
353,916
916,741
741,70
70,228
228,597
597,795
795,294
294,547
547,572
572,645
645,951
951,819
819,109
109,307
307,534
534,505
505,802
802,163
163,77
77,300
300,388
388,225
225,725
725,796
796,494
494,805
805,606
606,473
473,402
402,347
347,221
221,299
299,536
536,760
760,64
64,685
685,841
841,350
350,37
37,867
867,448
448,335
335,859
859,826
826,825
825,752
752,864
864,780
780,9
9,178
178,352
352,276
276,625
625,60
60,284
284,173
173,389
389,135
135,737
737,374
374,365
365,653
653,421
421,407
407,523
523,49
49,63
63,3
3,928
928,338
338,98
98,792
792,809
809,861
861,126
126,174
174,727
727,677
677,956
956,286
286,680
680,913
913,429
429,818
818,1002
1003,716
716,496
496,230
230,215
215,232
232,349
349,664
664,147
147,441
441,684
684,425
425,775
775,890
890,378
378,465
465,415
415,128
128,824
824,319
319,945
945,116
116,28
28,219
219,585
585,56
56,205
205,920
920,936
936,545
545,234
234,538
538,272
272,746
746,793
793,171
171,522
522,104
104,285
285,90
90,166
166,484
484,153
153,675
675,472
472,605
605,459
459,74
74,507
507,583
583,852
852,426
426,419
419,268
268,628
628,92
92,341
341,255
255,78
78,543
543,776
776,866
866,724
724,435
435,145
145,955
955,969
969,198
198,941
941,371
371,411
411,797
797,784
784,86
86,11
11,51
51,633
633,698
698,623
623,906
906,587
587,392
392,357
357,558
558,772
772,88
88,188
188,704
704,262
262,508
508,79
79,452
452,513
513,229
229,127
127,976
976,691
691,517
517,43
43,800
800,871
871,216
216,190
190,344
344,988
988,196
196,946
946,563
563,29
29,840
840,759
759,180
180,874
874,577
577,839
839,97
97,87
87,923
923,183
183,877
877,258
258,340
340,901
901,282
282,747
747,934
934,732
732,296
296,311
311,80
80,396
396,571
571,410
410,811
811,292
292,136
136,157
157,531
531,334
334,548
548,193
193,966
966,440
440,641
641,266
266,8
8,376
376,640
640,943
943,828
828,16
16,781
781,346
346,630
630,159
159,289
289,682
682,511
511,370
370,214
214,417
417,244
244,45
45,586
586,4
4,150
150,599
599,568
568,213
213,905
905,782
782,931
931,949
949,330
330,218
218,950
950,986
986,315
315,518
518,821
821,750
750,1003
1004,778
778,851
851,271
271,195
195,981
981,708
708,702
702,850
850,609
609,322
322,47
47,579
579,889
889,320
320,624
624,288
288,756
756,790
790,565
565,608
608,167
167,735
735,468
468,642
642,273
273,638
638,397
397,486
486,358
358,413
413,131
131,729
729,278
278,686
686,279
279,596
596,959
959,758
758,443
443,898
898,449
449,700
700,401
401,123
123,408
408,532
532,30
30,961
961,297
297,663
663,384
384,709
709,658
658,970
970,13
13,662
662,995
995,550
550,125
125,391
391,208
208,5
5,614
614,681
681,942
942,202
202,526
526,706
706,537
537,210
210,265
265,487
487,601
601,697
697,673
673,674
674,343
343,259
259,291
291,612
612,960
960,671
671,485
485,387
387,744
744,885
885,636
636,880
880,466
466,544
544,891
891,248
248,75
75,460
460,620
620,34
34,721
721,256
256,359
359,26
26,894
894,985
985,499
499,181
181,209
209,503
503,683
683,996
996,478
478,954
954,455
455,813
813,832
832,646
646,412
412,14
14,73
73,927
927,306
306,483
483,962
962,865
865,382
382,626
626,143
143,53
53,562
562,588
588,552
552,250
250,140
140,869
869,594
594,124
124,580
580,390
390,1000
1000,263
263,953
953,798
798,161
161,187
187,958
958,857
857,542
542,555
555,186
186,766
766,582
582,111
111,69
69,267
267,461
461,280
280,252
252,283
283,777
777,355
355,566
566,569
569,474
474,785
785,348
348,525
525,1004
1005,978
978,661
661,217
217,665
665,549
549,554
554,433
433,10
10,707
707,845
845,909
909,893
893,293
293,110
110,659
659,520
520,541
541,765
765,666
666,598
598,211
211,151
151,106
106,755
755,940
940,164
164,423
423,715
715,678
678,667
667,717
717,814
814,734
734,264
264,403
403,815
815,231
231,529
529,204
204,328
328,806
806,972
972,481
481,245
245,226
226,794
794,477
477,182
182,326
326,564
564,710
710,434
434,277
277,910
910,176
176,112
112,437
437,85
85,192
192,660
660,35
35,974
974,935
935,463
463,239
239,773
773,574
574,243
243,899
899,854
854,745
745,907
907,122
122,220
220,424
424,303
303,528
528,368
368,912
912,639
639,816
816,1
1,762
762,712
712,770
770,973
973,398
398,71
71,54
54,868
868,669
669,476
476,270
270,650
650,369
369,366
366,904
904,688
688,249
249,393
393,454
454,803
803,999
999,438
438,308
308,512
512,406
406,114
114,649
649,509
509,142
142,493
493,162
162,925
925,457
457,139
139,57
57,420
420,333
333,501
501,519
519,489
489,66
66,444
444,42
42,914
914,91
91,101
101,651
651,169
169,84
84,237
237,696
696,302
302,895
895,251
251,492
492,331
331,699
699,742
742,761
761,884
884,68
68,593
593,354
354,179
179,837
837,154
154,600
600,152
152,450
450,967
967,367
367,313
313,194
194,46
46,50
50,656
656,592
592,726
726,804
804,926
926,1005
1006,121
121,739
739,932
932,767
767,922
922,495
495,652
652,113
113,156
156,613
613,445
445,801
801,849
849,170
170,733
733,847
847,451
451,644
644,475
475,149
149,82
82,105
105,799
799,573
573,99
99,929
929,22
22,253
253,963
963,764
764,108
108,257
257,380
380,464
464,937
937,298
298,470
470,718
718,241
241,504
504,379
379,89
89,975
975,191
191,902
902,835
835,833
833,692
692,984
984,948
948,911
911,736
736,888
888,779
779,886
886,404
404,206
206,23
23,957
957,903
903,337
337,557
557,643
643,274
274,506
506,687
687,919
919,447
447,246
