StartNode,EndNode
250,196
196,23
23,236
236,111
111,105
105,85
85,222
222,6
6,165
165,37
37,44
44,199
199,22
22,120
120,48
48,128
128,200
200,216
216,46
46,239
239,35
35,119
119,218
218,184
184,192
192,144
144,245
245,94
94,151
151,86
86,149
149,247
247,88
88,50
50,91
91,77
77,107
107,14
14,98
98,240
240,117
117,132
132,97
97,29
29,227
227,20
20,109
109,92
92,178
178,210
210,250
250,41
41,110
110,60
60,158
158,134
134,159
159,147
147,51
51,67
67,59
59,75
75,162
162,171
171,181
181,169
169,52
52,219
219,15
15,102
102,39
39,146
146,135
135,84
84,16
16,243
243,174
174,143
143,179
179,161
161,187
187,93
93,45
45,212
212,63
63,180
180,250
251,230
230,26
26,148
148,114
114,9
9,153
153,89
89,167
167,13
13,197
197,42
42,80
80,194
194,66
66,103
103,113
113,168
168,47
47,55
55,175
175,17
17,24
24,40
40,127
127,201
201,78
78,32
32,226
226,136
136,176
176,233
233,38
38,242
242,56
56,122
122,43
43,223
223,163
163,69
69,177
177,237
237,62
62,249
249,157
157,82
82,235
235,11
11,241
241,225
225,193
193,251
251,101
101,170
170,2
2,195
195,217
217,83
83,36
36,106
106,121
121,248
248,189
189,220
220,150
150,183
183,58
58,206
206,65
65,228
228,53
53,124
124,173
173,27
27,125
125,64
64,224
224,203
203,57
57,214
214,131
131,238
238,10
10,251
252,33
33,79
79,5
5,133
133,12
12,49
49,130
130,129
129,221
221,191
191,30
30,18
18,137
137,54
54,204
204,198
198,73
73,207
207,166
166,213
213,96
96,112
112,190
190,8
8,123
123,118
118,3
3,116
116,126
126,215
215,74
74,104
104,141
141,25
25,246
246,208
208,152
152,156
156,28
28,182
182,95
95,34
34,188
188,4
4,81
81,186
186,21
21,138
138,209
209,234
234,252
252,244
244,108
108,232
232,142
142,68
68,231
231,202
202,139
139,1
1,229
229,71
71,205
205,31
31,19
19,185
185,72
72,172
172,164
164,160
160,7
7,140
140,100
100,145
145,115
115,154
154,76
76,155
155,70
70,99
99,87
87,61
61,90
90,211
211,252
