StartNode,EndNode
250,236
236,111
111,250
250,97
97,132
132,105
105,250
250,59
59,85
85,222
222,250
250,247
247,149
149,86
86,250
250,25
25,246
246,208
208,250
250,107
107,240
240,117
117,250
250,134
134,147
147,201
201,250
250,22
22,120
120,196
196,250
251,2
2,170
170,26
26,251
251,24
24,40
40,17
17,251
251,9
9,153
153,248
248,251
251,89
89,167
167,13
13,251
251,206
206,65
65,220
220,251
251,56
56,175
175,242
242,251
251,189
189,106
106,121
121,251
251,64
64,214
214,57
57,251
252,21
21,186
186,209
209,252
252,138
138,33
33,234
234,252
252,19
19,185
185,72
72,252
252,5
5,191
191,79
79,252
252,133
133,129
129,221
221,252
252,232
232,202
202,231
231,252
252,205
205,31
31,71
71,252
252,229
229,1
1,139
139,252
252,172
172,140
140,164
164,252
252,99
99,142
142,68
68,252
