StartNode,EndNode
101,42
42,44
44,86
86,38
38,14
14,43
43,15
15,57
57,2
2,87
87,101
101,37
37,100
100,91
91,16
16,61
61,85
85,98
98,59
59,92
92,97
97,101
101,95
95,94
94,5
5,84
84,17
17,45
45,46
46,8
8,83
83,13
13,101
101,58
58,26
26,28
28,12
12,54
54,24
24,55
55,25
25,4
4,22
22,101
101,41
41,23
23,67
67,39
39,56
56,75
75,73
73,21
21,72
72,74
74,101
101,40
40,53
53,101
102,69
69,27
27,89
89,6
6,96
96,99
99,93
93,60
60,18
18,52
52,102
102,31
31,88
88,7
7,82
82,48
48,47
47,36
36,49
49,64
64,11
11,102
102,19
19,62
62,63
63,90
90,32
32,66
66,65
65,35
35,71
71,10
10,102
102,1
1,50
50,3
3,79
79,78
78,34
34,29
29,80
80,68
68,76
76,102
102,77
77,33
33,81
81,9
9,51
51,70
70,30
30,20
20,102
