StartNode,EndNode
250,23
23,250
250,85
85,250
250,44
44,250
250,208
208,250
250,111
111,250
250,116
116,250
250,16
16,250
250,37
37,250
250,92
92,250
251,147
147,251
251,238
238,251
251,66
66,251
251,38
38,251
251,242
242,251
251,56
56,251
251,159
159,251
251,17
17,251
252,144
144,252
252,28
28,252
252,188
188,252
252,140
140,252
252,35
35,252
252,45
45,252
252,212
212,252
252,87
87,252
253,54
54,253
253,43
43,253
253,106
106,253
253,65
65,253
253,62
62,253
253,230
230,253
253,206
206,253
254,186
186,254
254,191
191,254
254,33
33,254
254,172
172,254
254,130
130,254
254,1
1,254
254,4
4,254
