StartNode,EndNode
250,169
169,181
181,171
171,59
59,162
162,75
75,85
85,222
222,165
165,6
6,37
37,44
44,199
199,116
116,126
126,215
215,74
74,104
104,141
141,25
25,22
22,120
120,23
23,236
236,111
111,196
196,48
48,105
105,97
97,132
132,158
158,60
60,110
110,210
210,41
41,227
227,29
29,109
109,20
20,92
92,178
178,98
98,117
117,240
240,107
107,14
14,143
143,174
174,128
128,250
251,226
226,136
136,233
233,176
176,113
113,194
194,80
80,197
197,42
42,10
10,238
238,131
131,214
214,57
57,203
203,43
43,223
223,122
122,146
146,84
84,135
135,123
123,118
118,3
3,16
16,243
243,52
52,219
219,15
15,102
102,39
39,38
38,242
242,56
56,66
66,103
103,168
168,55
55,47
47,175
175,17
17,24
24,40
40,127
127,147
147,159
159,134
134,51
51,67
67,32
32,251
251,78
78,201
201,251
252,144
144,192
192,184
184,218
218,119
119,245
245,50
50,88
88,247
247,149
149,86
86,151
151,94
94,91
91,77
77,212
212,45
45,187
187,93
93,46
46,216
216,200
200,179
179,161
161,152
152,180
180,63
63,208
208,246
246,160
160,7
7,164
164,140
140,172
172,186
186,81
81,4
4,154
154,76
76,87
87,188
188,95
95,34
34,28
28,182
182,156
156,239
239,35
35,252
253,224
224,163
163,69
69,177
177,237
237,62
62,249
249,157
157,225
225,241
241,11
11,235
235,82
82,217
217,27
27,204
204,198
198,73
73,166
166,207
207,195
195,2
2,170
170,230
230,13
13,167
167,89
89,248
248,121
121,106
106,189
189,153
153,9
9,26
26,148
148,114
114,101
101,193
193,125
125,64
64,58
58,183
183,150
150,36
36,220
220,65
65,206
206,83
83,173
173,54
54,253
254,211
211,90
90,61
61,130
130,129
129,221
221,205
205,31
31,71
71,229
229,1
1,139
139,202
202,231
231,232
232,142
142,68
68,234
234,33
33,244
244,108
108,155
155,70
70,99
99,145
145,115
115,100
100,209
209,138
138,21
21,72
72,185
185,19
19,79
79,190
190,8
8,213
213,112
112,96
96,30
30,18
18,137
137,228
228,53
53,124
124,49
49,12
12,133
133,5
5,191
191,254
