StartNode,EndNode
250,210
210,41
41,110
110,60
60,109
109,20
20,227
227,29
29,97
97,132
132,169
169,52
52,243
243,116
116,215
215,74
74,141
141,25
25,208
208,199
199,22
22,120
120,23
23,48
48,143
143,174
174,250
251,181
181,75
75,219
219,15
15,102
102,39
39,38
38,242
242,223
223,43
43,249
249,157
157,82
82,225
225,241
241,11
11,193
193,101
101,203
203,57
57,214
214,131
131,238
238,10
10,42
42,197
197,194
194,80
80,113
113,103
103,168
168,47
47,55
55,251
252,28
28,95
95,34
34,188
188,108
108,244
244,100
100,186
186,164
164,160
160,180
180,63
63,216
216,46
46,93
93,187
187,45
45,77
77,50
50,245
245,218
218,252
253,58
58,183
183,150
150,189
189,121
121,89
89,167
167,153
153,9
9,26
26,148
148,170
170,2
2,64
64,163
163,69
69,177
177,237
237,146
146,84
84,135
135,3
3,118
118,123
123,8
8,190
190,112
112,253
254,19
19,185
185,72
72,21
21,138
138,209
209,145
145,115
115,154
154,76
76,155
155,70
70,99
99,232
232,142
142,68
68,202
202,139
139,229
229,71
71,31
31,205
205,90
90,61
61,49
49,133
133,5
5,254
