StartNode,EndNode
101,83
83,82
82,7
7,88
88,62
62,10
10,32
32,90
90,63
63,64
64,49
49,11
11,19
19,48
48,47
47,36
36,46
46,8
8,45
45,17
17,101
101,84
84,61
61,16
16,86
86,38
38,44
44,14
14,42
42,43
43,15
15,57
57,87
87,97
97,95
95,92
92,98
98,37
37,100
100,91
91,85
85,101
101,93
93,5
5,60
60,18
18,52
52,89
89,13
13,94
94,6
6,96
96,99
99,59
59,101
102,68
68,80
80,54
54,4
4,21
21,73
73,22
22,74
74,72
72,2
2,41
41,75
75,56
56,23
23,67
67,39
39,25
25,55
55,24
24,29
29,102
102,78
78,34
34,35
35,71
71,65
65,66
66,20
20,30
30,70
70,31
31,69
69,1
1,51
51,9
9,81
81,33
33,79
79,3
3,77
77,76
76,102
102,50
50,28
28,27
27,53
53,58
58,40
40,26
26,12
12,102
