StartNode,EndNode
250,236
236,250
250,98
98,240
240,107
107,250
250,85
85,171
171,105
105,250
250,165
165,104
104,37
37,250
250,128
128,143
143,174
174,250
251,78
78,226
226,251
251,147
147,127
127,40
40,251
251,67
67,51
51,201
201,251
251,146
146,135
135,84
84,251
251,55
55,168
168,175
175,251
252,119
119,252
252,94
94,151
151,88
88,252
252,149
149,86
86,247
247,252
252,152
152,246
246,81
81,252
253,173
173,253
253,183
183,150
150,58
58,253
253,206
206,65
65,36
36,253
253,83
83,2
2,195
195,253
253,230
230,248
248,114
114,253
254,19
19,211
211,191
191,254
254,185
185,142
142,231
231,254
254,30
30,18
18,137
137,254
254,228
228,53
53,124
124,254
254,5
5,133
133,79
79,254
