StartNode,EndNode
101,61
61,16
16,86
86,38
38,44
44,14
14,42
42,43
43,15
15,57
57,2
2,87
87,13
13,58
58,40
40,53
53,89
89,52
52,101
101,60
60,6
6,94
94,95
95,97
97,92
92,98
98,37
37,100
100,91
91,85
85,93
93,59
59,96
96,99
99,5
5,84
84,17
17,45
45,101
101,83
83,8
8,46
46,47
47,36
36,49
49,64
64,63
63,11
11,62
62,19
19,48
48,82
82,7
7,18
18,101
102,77
77,33
33,51
51,20
20,66
66,32
32,90
90,10
10,30
30,70
70,31
31,88
88,27
27,28
28,69
69,1
1,50
50,76
76,102
102,12
12,26
26,21
21,73
73,72
72,74
74,22
22,41
41,75
75,56
56,23
23,67
67,39
39,25
25,55
55,4
4,54
54,102
102,24
24,29
29,79
79,78
78,34
34,35
35,65
65,71
71,9
9,81
81,3
3,68
68,80
80,102
